ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CSRI,1990,4,1,-9999,-9999,-9999
USR0000CSRI,1990,4,10,-9999,-9999,-9999
USR0000CSRI,1990,4,11,-9999,-9999,-9999
USR0000CSRI,1990,4,12,-9999,-9999,-9999
USR0000CSRI,1990,4,13,-9999,-9999,-9999
USR0000CSRI,1990,4,14,-9999,-9999,-9999
USR0000CSRI,1990,4,15,-9999,-9999,-9999
USR0000CSRI,1990,4,16,-9999,-9999,-9999
USR0000CSRI,1990,4,17,-9999,-9999,-9999
USR0000CSRI,1990,4,18,-9999,-9999,-9999
USR0000CSRI,1990,4,19,-9999,-9999,-9999
USR0000CSRI,1990,4,2,-9999,-9999,-9999
USR0000CSRI,1990,4,20,-9999,-9999,-9999
USR0000CSRI,1990,4,21,-9999,-9999,-9999
USR0000CSRI,1990,4,22,-9999,-9999,-9999
USR0000CSRI,1990,4,23,94,117,78
USR0000CSRI,1990,4,24,81,100,67
USR0000CSRI,1990,4,25,113,150,72
USR0000CSRI,1990,4,26,130,183,100
USR0000CSRI,1990,4,27,169,217,100
USR0000CSRI,1990,4,28,108,172,78
USR0000CSRI,1990,4,29,82,111,56
USR0000CSRI,1990,4,3,-9999,-9999,-9999
USR0000CSRI,1990,4,30,94,156,61
USR0000CSRI,1990,4,31,-9999,-9999,-9999
USR0000CSRI,1990,4,4,-9999,-9999,-9999
USR0000CSRI,1990,4,5,-9999,-9999,-9999
USR0000CSRI,1990,4,6,-9999,-9999,-9999
USR0000CSRI,1990,4,7,-9999,-9999,-9999
USR0000CSRI,1990,4,8,-9999,-9999,-9999
USR0000CSRI,1990,4,9,-9999,-9999,-9999
USR0000CSRI,1990,5,1,130,206,83
USR0000CSRI,1990,5,10,101,139,78
USR0000CSRI,1990,5,11,81,100,67
USR0000CSRI,1990,5,12,86,122,67
USR0000CSRI,1990,5,13,93,156,67
USR0000CSRI,1990,5,14,83,111,67
USR0000CSRI,1990,5,15,80,100,67
USR0000CSRI,1990,5,16,86,133,61
USR0000CSRI,1990,5,17,77,100,61
USR0000CSRI,1990,5,18,80,111,61
USR0000CSRI,1990,5,19,81,100,61
USR0000CSRI,1990,5,2,114,172,72
USR0000CSRI,1990,5,20,104,144,67
USR0000CSRI,1990,5,21,101,144,83
USR0000CSRI,1990,5,22,114,167,83
USR0000CSRI,1990,5,23,103,156,67
USR0000CSRI,1990,5,24,84,106,67
USR0000CSRI,1990,5,25,86,122,67
USR0000CSRI,1990,5,26,98,128,72
