ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CTAN,1986,2,1,-9999,-9999,-9999
USR0000CTAN,1986,2,10,-9999,-9999,-9999
USR0000CTAN,1986,2,11,-9999,-9999,-9999
USR0000CTAN,1986,2,12,72,84,61
USR0000CTAN,1986,2,13,81,104,61
USR0000CTAN,1986,2,14,111,155,53
USR0000CTAN,1986,2,15,93,108,84
USR0000CTAN,1986,2,16,97,143,73
USR0000CTAN,1986,2,17,95,143,61
USR0000CTAN,1986,2,18,112,136,77
USR0000CTAN,1986,2,19,106,143,81
USR0000CTAN,1986,2,2,-9999,-9999,-9999
USR0000CTAN,1986,2,20,93,131,37
USR0000CTAN,1986,2,21,118,171,33
USR0000CTAN,1986,2,22,156,214,100
USR0000CTAN,1986,2,23,194,249,139
USR0000CTAN,1986,2,24,218,265,159
USR0000CTAN,1986,2,25,243,265,194
USR0000CTAN,1986,2,26,264,277,237
USR0000CTAN,1986,2,27,241,277,178
USR0000CTAN,1986,2,28,213,273,131
USR0000CTAN,1986,2,29,-9999,-9999,-9999
USR0000CTAN,1986,2,3,-9999,-9999,-9999
USR0000CTAN,1986,2,30,-9999,-9999,-9999
USR0000CTAN,1986,2,31,-9999,-9999,-9999
USR0000CTAN,1986,2,4,-9999,-9999,-9999
USR0000CTAN,1986,2,5,-9999,-9999,-9999
USR0000CTAN,1986,2,6,-9999,-9999,-9999
USR0000CTAN,1986,2,7,-9999,-9999,-9999
USR0000CTAN,1986,2,8,-9999,-9999,-9999
USR0000CTAN,1986,2,9,-9999,-9999,-9999
USR0000CTAN,1986,3,1,158,210,112
USR0000CTAN,1986,3,10,54,73,37
USR0000CTAN,1986,3,11,70,127,22
USR0000CTAN,1986,3,12,20,69,-73
USR0000CTAN,1986,3,13,44,81,22
USR0000CTAN,1986,3,14,61,119,10
USR0000CTAN,1986,3,15,52,100,18
USR0000CTAN,1986,3,16,31,53,6
USR0000CTAN,1986,3,17,61,116,10
USR0000CTAN,1986,3,18,137,214,64
USR0000CTAN,1986,3,19,171,226,136
USR0000CTAN,1986,3,2,-9999,-9999,-9999
USR0000CTAN,1986,3,20,177,222,139
USR0000CTAN,1986,3,21,203,273,136
USR0000CTAN,1986,3,22,206,265,143
USR0000CTAN,1986,3,23,174,229,131
USR0000CTAN,1986,3,24,156,222,108
USR0000CTAN,1986,3,25,149,206,84
USR0000CTAN,1986,3,26,202,281,139
USR0000CTAN,1986,3,27,215,257,171
USR0000CTAN,1986,3,28,146,218,81
USR0000CTAN,1986,3,29,102,163,69
USR0000CTAN,1986,3,3,163,218,64
USR0000CTAN,1986,3,30,126,190,64
USR0000CTAN,1986,3,31,129,186,88
USR0000CTAN,1986,3,4,196,245,163
USR0000CTAN,1986,3,5,199,257,139
USR0000CTAN,1986,3,6,160,214,104
USR0000CTAN,1986,3,7,100,116,77
USR0000CTAN,1986,3,8,88,100,49
USR0000CTAN,1986,3,9,71,108,29
USR0000CTAN,1986,4,1,91,119,73
USR0000CTAN,1986,4,10,117,174,73
USR0000CTAN,1986,4,11,107,167,53
USR0000CTAN,1986,4,12,83,127,53
USR0000CTAN,1986,4,13,101,174,26
USR0000CTAN,1986,4,14,122,186,57
USR0000CTAN,1986,4,15,93,159,45
USR0000CTAN,1986,4,16,62,108,18
USR0000CTAN,1986,4,17,79,143,22
USR0000CTAN,1986,4,18,131,202,53
USR0000CTAN,1986,4,19,168,237,116
USR0000CTAN,1986,4,2,86,136,57
USR0000CTAN,1986,4,20,199,265,127
USR0000CTAN,1986,4,21,199,269,136
USR0000CTAN,1986,4,22,148,218,88
USR0000CTAN,1986,4,23,116,198,61
USR0000CTAN,1986,4,24,105,171,64
USR0000CTAN,1986,4,25,93,163,45
USR0000CTAN,1986,4,26,109,194,49
USR0000CTAN,1986,4,27,177,241,119
USR0000CTAN,1986,4,28,176,261,116
USR0000CTAN,1986,4,29,139,210,92
USR0000CTAN,1986,4,3,97,151,53
USR0000CTAN,1986,4,30,114,163,57
USR0000CTAN,1986,4,31,-9999,-9999,-9999
USR0000CTAN,1986,4,4,92,143,33
USR0000CTAN,1986,4,5,75,123,53
USR0000CTAN,1986,4,6,65,112,41
USR0000CTAN,1986,4,7,75,127,26
USR0000CTAN,1986,4,8,86,127,29
USR0000CTAN,1986,4,9,127,190,61
USR0000CTAN,1986,5,1,147,233,92
USR0000CTAN,1986,5,10,163,229,104
USR0000CTAN,1986,5,11,134,202,69
USR0000CTAN,1986,5,12,126,202,45
USR0000CTAN,1986,5,13,128,206,69
USR0000CTAN,1986,5,14,97,159,41
USR0000CTAN,1986,5,15,69,127,37
USR0000CTAN,1986,5,16,134,214,33
USR0000CTAN,1986,5,17,222,284,151
USR0000CTAN,1986,5,18,237,304,167
USR0000CTAN,1986,5,19,219,284,147
USR0000CTAN,1986,5,2,157,229,92
USR0000CTAN,1986,5,20,172,253,116
USR0000CTAN,1986,5,21,107,163,81
USR0000CTAN,1986,5,22,138,202,69
USR0000CTAN,1986,5,23,141,202,84
USR0000CTAN,1986,5,24,202,296,104
USR0000CTAN,1986,5,25,241,332,155
USR0000CTAN,1986,5,26,198,253,143
USR0000CTAN,1986,5,27,197,269,136
USR0000CTAN,1986,5,28,209,277,136
USR0000CTAN,1986,5,29,198,265,139
USR0000CTAN,1986,5,3,118,167,53
USR0000CTAN,1986,5,30,169,233,131
USR0000CTAN,1986,5,31,167,226,119
USR0000CTAN,1986,5,4,87,139,37
USR0000CTAN,1986,5,5,92,174,33
USR0000CTAN,1986,5,6,83,112,53
USR0000CTAN,1986,5,7,120,167,29
USR0000CTAN,1986,5,8,144,202,77
USR0000CTAN,1986,5,9,174,233,100
USR0000CTAN,1986,6,1,168,226,112
USR0000CTAN,1986,6,10,230,316,123
USR0000CTAN,1986,6,11,244,316,163
USR0000CTAN,1986,6,12,209,281,139
USR0000CTAN,1986,6,13,220,273,136
USR0000CTAN,1986,6,14,-9999,-9999,-9999
USR0000CTAN,1986,6,15,-9999,-9999,-9999
USR0000CTAN,1986,6,16,-9999,-9999,-9999
USR0000CTAN,1986,6,17,-9999,-9999,-9999
USR0000CTAN,1986,6,18,212,253,147
USR0000CTAN,1986,6,19,189,261,127
USR0000CTAN,1986,6,2,162,233,100
USR0000CTAN,1986,6,20,192,265,136
USR0000CTAN,1986,6,21,208,284,127
USR0000CTAN,1986,6,22,217,312,139
USR0000CTAN,1986,6,23,209,300,147
USR0000CTAN,1986,6,24,246,316,151
USR0000CTAN,1986,6,25,247,308,151
USR0000CTAN,1986,6,26,256,327,155
USR0000CTAN,1986,6,27,273,343,222
USR0000CTAN,1986,6,28,258,327,159
USR0000CTAN,1986,6,29,230,288,159
USR0000CTAN,1986,6,3,181,253,116
USR0000CTAN,1986,6,30,238,296,167
USR0000CTAN,1986,6,31,-9999,-9999,-9999
USR0000CTAN,1986,6,4,169,233,108
USR0000CTAN,1986,6,5,146,206,96
USR0000CTAN,1986,6,6,157,222,119
USR0000CTAN,1986,6,7,151,218,96
USR0000CTAN,1986,6,8,166,241,100
USR0000CTAN,1986,6,9,224,312,119
USR0000CTAN,1986,7,1,235,296,174
USR0000CTAN,1986,7,10,194,249,123
USR0000CTAN,1986,7,11,207,284,147
USR0000CTAN,1986,7,12,213,284,143
USR0000CTAN,1986,7,13,236,300,159
USR0000CTAN,1986,7,14,233,292,178
USR0000CTAN,1986,7,15,206,281,159
USR0000CTAN,1986,7,16,187,249,123
USR0000CTAN,1986,7,17,183,261,108
USR0000CTAN,1986,7,18,206,273,139
USR0000CTAN,1986,7,19,242,304,155
USR0000CTAN,1986,7,2,212,281,167
USR0000CTAN,1986,7,20,258,332,198
USR0000CTAN,1986,7,21,226,288,178
USR0000CTAN,1986,7,22,207,273,159
USR0000CTAN,1986,7,23,207,273,136
USR0000CTAN,1986,7,24,173,253,119
USR0000CTAN,1986,7,25,185,249,123
USR0000CTAN,1986,7,26,182,253,112
USR0000CTAN,1986,7,27,187,261,108
USR0000CTAN,1986,7,28,214,281,136
USR0000CTAN,1986,7,29,234,304,155
USR0000CTAN,1986,7,3,213,281,159
USR0000CTAN,1986,7,30,247,308,182
USR0000CTAN,1986,7,31,251,323,178
USR0000CTAN,1986,7,4,189,237,116
USR0000CTAN,1986,7,5,169,237,108
USR0000CTAN,1986,7,6,140,214,112
USR0000CTAN,1986,7,7,221,269,151
USR0000CTAN,1986,7,8,226,300,159
USR0000CTAN,1986,7,9,208,281,139
USR0000CTAN,1986,8,1,259,323,186
USR0000CTAN,1986,8,10,249,319,186
USR0000CTAN,1986,8,11,255,336,182
USR0000CTAN,1986,8,12,236,312,182
USR0000CTAN,1986,8,13,227,304,167
USR0000CTAN,1986,8,14,227,300,163
USR0000CTAN,1986,8,15,225,312,151
USR0000CTAN,1986,8,16,217,296,151
USR0000CTAN,1986,8,17,268,347,182
USR0000CTAN,1986,8,18,267,332,214
USR0000CTAN,1986,8,19,271,332,214
USR0000CTAN,1986,8,2,263,339,190
USR0000CTAN,1986,8,20,282,355,229
USR0000CTAN,1986,8,21,271,332,222
USR0000CTAN,1986,8,22,262,332,198
USR0000CTAN,1986,8,23,244,319,182
USR0000CTAN,1986,8,24,253,323,178
USR0000CTAN,1986,8,25,263,312,206
USR0000CTAN,1986,8,26,242,323,190
USR0000CTAN,1986,8,27,247,312,190
USR0000CTAN,1986,8,28,248,323,202
USR0000CTAN,1986,8,29,257,323,198
USR0000CTAN,1986,8,3,251,319,182
USR0000CTAN,1986,8,30,228,296,167
USR0000CTAN,1986,8,31,207,261,147
USR0000CTAN,1986,8,4,246,319,190
USR0000CTAN,1986,8,5,244,319,178
USR0000CTAN,1986,8,6,244,316,178
USR0000CTAN,1986,8,7,242,316,167
USR0000CTAN,1986,8,8,235,312,174
USR0000CTAN,1986,8,9,236,308,174
USR0000CTAN,1986,9,1,186,261,127
USR0000CTAN,1986,9,10,165,233,104
USR0000CTAN,1986,9,11,182,245,119
USR0000CTAN,1986,9,12,151,214,84
USR0000CTAN,1986,9,13,130,198,81
USR0000CTAN,1986,9,14,129,198,64
USR0000CTAN,1986,9,15,133,202,69
USR0000CTAN,1986,9,16,166,233,100
USR0000CTAN,1986,9,17,183,245,131
USR0000CTAN,1986,9,18,155,226,88
USR0000CTAN,1986,9,19,127,190,77
USR0000CTAN,1986,9,2,191,261,123
USR0000CTAN,1986,9,20,124,190,61
USR0000CTAN,1986,9,21,141,214,81
USR0000CTAN,1986,9,22,130,198,64
USR0000CTAN,1986,9,23,102,159,53
USR0000CTAN,1986,9,24,93,108,69
USR0000CTAN,1986,9,25,117,151,77
USR0000CTAN,1986,9,26,113,151,53
USR0000CTAN,1986,9,27,103,151,64
USR0000CTAN,1986,9,28,124,171,73
USR0000CTAN,1986,9,29,170,229,84
USR0000CTAN,1986,9,3,225,300,143
USR0000CTAN,1986,9,30,166,237,116
USR0000CTAN,1986,9,31,-9999,-9999,-9999
USR0000CTAN,1986,9,4,276,336,190
USR0000CTAN,1986,9,5,278,351,202
USR0000CTAN,1986,9,6,267,332,206
USR0000CTAN,1986,9,7,249,312,182
USR0000CTAN,1986,9,8,216,277,136
USR0000CTAN,1986,9,9,158,218,108
USR0000CTAN,1986,10,1,120,143,92
USR0000CTAN,1986,10,10,126,167,104
USR0000CTAN,1986,10,11,104,112,92
USR0000CTAN,1986,10,12,118,178,64
USR0000CTAN,1986,10,13,153,229,96
USR0000CTAN,1986,10,14,179,257,116
USR0000CTAN,1986,10,15,183,245,136
USR0000CTAN,1986,10,16,189,218,131
USR0000CTAN,1986,10,17,121,167,73
USR0000CTAN,1986,10,18,103,171,57
USR0000CTAN,1986,10,19,117,182,64
USR0000CTAN,1986,10,2,99,155,61
USR0000CTAN,1986,10,20,143,210,84
USR0000CTAN,1986,10,21,161,229,100
USR0000CTAN,1986,10,22,153,218,108
USR0000CTAN,1986,10,23,136,198,92
USR0000CTAN,1986,10,24,163,229,100
USR0000CTAN,1986,10,25,232,281,186
USR0000CTAN,1986,10,26,218,284,174
USR0000CTAN,1986,10,27,202,261,163
USR0000CTAN,1986,10,28,207,273,163
USR0000CTAN,1986,10,29,195,261,147
USR0000CTAN,1986,10,3,131,202,57
USR0000CTAN,1986,10,30,163,226,112
USR0000CTAN,1986,10,31,137,186,92
USR0000CTAN,1986,10,4,189,249,112
USR0000CTAN,1986,10,5,209,269,167
USR0000CTAN,1986,10,6,209,277,171
USR0000CTAN,1986,10,7,217,277,151
USR0000CTAN,1986,10,8,187,249,136
USR0000CTAN,1986,10,9,149,214,100
USR0000CTAN,1986,11,1,156,194,119
USR0000CTAN,1986,11,10,173,241,100
USR0000CTAN,1986,11,11,179,249,123
USR0000CTAN,1986,11,12,199,257,155
USR0000CTAN,1986,11,13,167,229,100
USR0000CTAN,1986,11,14,134,198,88
USR0000CTAN,1986,11,15,147,202,84
USR0000CTAN,1986,11,16,150,206,119
USR0000CTAN,1986,11,17,139,155,119
USR0000CTAN,1986,11,18,120,139,108
USR0000CTAN,1986,11,19,106,131,88
USR0000CTAN,1986,11,2,163,202,123
USR0000CTAN,1986,11,20,147,218,77
USR0000CTAN,1986,11,21,102,131,81
USR0000CTAN,1986,11,22,121,182,88
USR0000CTAN,1986,11,23,132,194,88
USR0000CTAN,1986,11,24,126,194,84
USR0000CTAN,1986,11,25,141,194,84
USR0000CTAN,1986,11,26,146,210,100
USR0000CTAN,1986,11,27,152,226,112
USR0000CTAN,1986,11,28,157,229,100
USR0000CTAN,1986,11,29,116,171,69
USR0000CTAN,1986,11,3,185,241,143
USR0000CTAN,1986,11,30,151,210,77
USR0000CTAN,1986,11,31,-9999,-9999,-9999
USR0000CTAN,1986,11,4,187,249,131
USR0000CTAN,1986,11,5,178,241,131
USR0000CTAN,1986,11,6,117,167,81
USR0000CTAN,1986,11,7,89,139,37
USR0000CTAN,1986,11,8,105,171,37
USR0000CTAN,1986,11,9,139,210,88
USR0000CTAN,1986,12,1,162,233,119
USR0000CTAN,1986,12,10,92,155,37
USR0000CTAN,1986,12,11,88,155,49
USR0000CTAN,1986,12,12,91,151,57
USR0000CTAN,1986,12,13,103,163,69
USR0000CTAN,1986,12,14,96,151,69
USR0000CTAN,1986,12,15,96,143,64
USR0000CTAN,1986,12,16,106,155,77
USR0000CTAN,1986,12,17,117,171,81
USR0000CTAN,1986,12,18,98,155,61
USR0000CTAN,1986,12,19,82,131,49
USR0000CTAN,1986,12,2,163,229,119
USR0000CTAN,1986,12,20,78,131,41
USR0000CTAN,1986,12,21,118,174,81
USR0000CTAN,1986,12,22,112,174,73
USR0000CTAN,1986,12,23,93,143,57
USR0000CTAN,1986,12,24,106,167,61
USR0000CTAN,1986,12,25,100,171,53
USR0000CTAN,1986,12,26,104,171,61
USR0000CTAN,1986,12,27,95,159,49
USR0000CTAN,1986,12,28,120,167,73
USR0000CTAN,1986,12,29,129,182,88
USR0000CTAN,1986,12,3,161,226,119
USR0000CTAN,1986,12,30,131,190,81
USR0000CTAN,1986,12,31,103,163,69
USR0000CTAN,1986,12,4,138,174,100
USR0000CTAN,1986,12,5,107,159,64
USR0000CTAN,1986,12,6,77,116,53
USR0000CTAN,1986,12,7,67,112,37
USR0000CTAN,1986,12,8,92,159,41
USR0000CTAN,1986,12,9,82,147,33
USR0000CTAN,1987,1,1,90,147,61
USR0000CTAN,1987,1,10,139,194,61
USR0000CTAN,1987,1,11,149,222,92
USR0000CTAN,1987,1,12,141,214,104
USR0000CTAN,1987,1,13,125,178,88
USR0000CTAN,1987,1,14,93,151,33
USR0000CTAN,1987,1,15,27,73,-14
USR0000CTAN,1987,1,16,1,29,-29
USR0000CTAN,1987,1,17,22,88,-37
USR0000CTAN,1987,1,18,56,119,10
USR0000CTAN,1987,1,19,60,112,10
USR0000CTAN,1987,1,2,129,194,45
USR0000CTAN,1987,1,20,61,119,18
USR0000CTAN,1987,1,21,83,159,18
USR0000CTAN,1987,1,22,131,202,77
USR0000CTAN,1987,1,23,73,112,29
USR0000CTAN,1987,1,24,103,143,69
USR0000CTAN,1987,1,25,136,206,77
USR0000CTAN,1987,1,26,177,245,119
USR0000CTAN,1987,1,27,154,210,92
USR0000CTAN,1987,1,28,103,151,73
USR0000CTAN,1987,1,29,77,116,49
USR0000CTAN,1987,1,3,117,178,61
USR0000CTAN,1987,1,30,64,119,29
USR0000CTAN,1987,1,31,98,171,33
USR0000CTAN,1987,1,4,62,77,33
USR0000CTAN,1987,1,5,48,100,22
USR0000CTAN,1987,1,6,34,69,14
USR0000CTAN,1987,1,7,46,96,18
USR0000CTAN,1987,1,8,57,112,6
USR0000CTAN,1987,1,9,83,143,26
USR0000CTAN,1987,2,1,137,210,88
USR0000CTAN,1987,2,10,124,171,92
USR0000CTAN,1987,2,11,113,159,81
USR0000CTAN,1987,2,12,103,159,61
USR0000CTAN,1987,2,13,97,131,69
USR0000CTAN,1987,2,14,108,174,53
USR0000CTAN,1987,2,15,86,127,53
USR0000CTAN,1987,2,16,106,163,73
USR0000CTAN,1987,2,17,112,167,77
USR0000CTAN,1987,2,18,107,151,64
USR0000CTAN,1987,2,19,97,151,53
USR0000CTAN,1987,2,2,132,194,84
USR0000CTAN,1987,2,20,81,131,37
USR0000CTAN,1987,2,21,78,143,14
USR0000CTAN,1987,2,22,57,116,10
USR0000CTAN,1987,2,23,19,57,-6
USR0000CTAN,1987,2,24,4,41,-26
USR0000CTAN,1987,2,25,2,64,-26
USR0000CTAN,1987,2,26,38,88,-18
USR0000CTAN,1987,2,27,57,123,14
USR0000CTAN,1987,2,28,75,131,18
USR0000CTAN,1987,2,29,-9999,-9999,-9999
USR0000CTAN,1987,2,3,98,143,69
USR0000CTAN,1987,2,30,-9999,-9999,-9999
USR0000CTAN,1987,2,31,-9999,-9999,-9999
USR0000CTAN,1987,2,4,129,190,53
USR0000CTAN,1987,2,5,172,206,131
USR0000CTAN,1987,2,6,180,226,136
USR0000CTAN,1987,2,7,159,222,119
USR0000CTAN,1987,2,8,156,218,112
USR0000CTAN,1987,2,9,121,139,108
USR0000CTAN,1987,3,1,91,151,49
USR0000CTAN,1987,3,10,93,155,49
USR0000CTAN,1987,3,11,97,167,26
USR0000CTAN,1987,3,12,131,210,77
USR0000CTAN,1987,3,13,91,147,45
USR0000CTAN,1987,3,14,69,108,29
USR0000CTAN,1987,3,15,47,88,6
USR0000CTAN,1987,3,16,66,131,6
USR0000CTAN,1987,3,17,83,159,26
USR0000CTAN,1987,3,18,80,127,41
USR0000CTAN,1987,3,19,69,112,37
USR0000CTAN,1987,3,2,81,147,18
USR0000CTAN,1987,3,20,64,139,2
USR0000CTAN,1987,3,21,21,61,-2
USR0000CTAN,1987,3,22,42,123,-22
USR0000CTAN,1987,3,23,58,104,10
USR0000CTAN,1987,3,24,73,139,14
USR0000CTAN,1987,3,25,121,163,69
USR0000CTAN,1987,3,26,139,182,73
USR0000CTAN,1987,3,27,93,155,61
USR0000CTAN,1987,3,28,119,178,77
USR0000CTAN,1987,3,29,129,194,73
USR0000CTAN,1987,3,3,151,218,92
USR0000CTAN,1987,3,30,123,210,73
USR0000CTAN,1987,3,31,150,241,96
USR0000CTAN,1987,3,4,170,245,131
USR0000CTAN,1987,3,5,118,151,84
USR0000CTAN,1987,3,6,93,119,81
USR0000CTAN,1987,3,7,90,123,64
USR0000CTAN,1987,3,8,85,104,69
USR0000CTAN,1987,3,9,89,136,61
