ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CVAL,1990,5,1,-9999,-9999,-9999
USR0000CVAL,1990,5,10,133,178,106
USR0000CVAL,1990,5,11,135,167,106
USR0000CVAL,1990,5,12,122,139,117
USR0000CVAL,1990,5,13,-9999,-9999,-9999
USR0000CVAL,1990,5,14,162,206,128
USR0000CVAL,1990,5,15,147,217,94
USR0000CVAL,1990,5,16,158,283,61
USR0000CVAL,1990,5,17,154,244,83
USR0000CVAL,1990,5,18,159,228,100
USR0000CVAL,1990,5,19,133,183,89
USR0000CVAL,1990,5,2,147,217,100
USR0000CVAL,1990,5,20,150,228,89
USR0000CVAL,1990,5,21,172,267,72
USR0000CVAL,1990,5,22,188,294,78
USR0000CVAL,1990,5,23,177,261,122
USR0000CVAL,1990,5,24,161,244,78
USR0000CVAL,1990,5,25,161,261,61
USR0000CVAL,1990,5,26,161,233,83
USR0000CVAL,1990,5,27,145,228,72
USR0000CVAL,1990,5,28,127,167,111
USR0000CVAL,1990,5,29,143,200,106
USR0000CVAL,1990,5,3,162,244,67
USR0000CVAL,1990,5,30,152,217,94
USR0000CVAL,1990,5,31,150,211,100
USR0000CVAL,1990,5,4,200,328,72
USR0000CVAL,1990,5,5,234,378,94
USR0000CVAL,1990,5,6,247,367,122
USR0000CVAL,1990,5,7,190,294,89
USR0000CVAL,1990,5,8,139,239,94
USR0000CVAL,1990,5,9,144,239,72
USR0000CVAL,1990,6,1,161,239,106
USR0000CVAL,1990,6,10,178,206,167
USR0000CVAL,1990,6,11,204,261,139
USR0000CVAL,1990,6,12,193,261,128
USR0000CVAL,1990,6,13,172,217,128
USR0000CVAL,1990,6,14,191,211,150
USR0000CVAL,1990,6,15,145,206,89
USR0000CVAL,1990,6,16,140,239,61
USR0000CVAL,1990,6,17,152,244,94
USR0000CVAL,1990,6,18,181,278,122
USR0000CVAL,1990,6,19,190,311,83
USR0000CVAL,1990,6,2,218,333,83
USR0000CVAL,1990,6,20,192,311,111
USR0000CVAL,1990,6,21,193,317,100
USR0000CVAL,1990,6,22,184,322,128
USR0000CVAL,1990,6,23,227,333,106
USR0000CVAL,1990,6,24,227,350,139
USR0000CVAL,1990,6,25,238,378,128
USR0000CVAL,1990,6,26,264,422,150
USR0000CVAL,1990,6,27,260,406,156
USR0000CVAL,1990,6,28,255,361,133
USR0000CVAL,1990,6,29,170,272,128
USR0000CVAL,1990,6,3,234,356,122
USR0000CVAL,1990,6,30,-9999,-9999,-9999
USR0000CVAL,1990,6,31,-9999,-9999,-9999
USR0000CVAL,1990,6,4,227,361,122
USR0000CVAL,1990,6,5,211,322,100
USR0000CVAL,1990,6,6,215,289,128
USR0000CVAL,1990,6,7,215,311,117
USR0000CVAL,1990,6,8,226,339,139
USR0000CVAL,1990,6,9,196,294,167
USR0000CVAL,1990,7,1,-9999,-9999,-9999
USR0000CVAL,1990,7,10,295,378,167
USR0000CVAL,1990,7,11,231,294,194
USR0000CVAL,1990,7,12,300,378,200
USR0000CVAL,1990,7,13,267,339,200
USR0000CVAL,1990,7,14,270,350,189
USR0000CVAL,1990,7,15,248,311,167
USR0000CVAL,1990,7,16,236,311,161
USR0000CVAL,1990,7,17,248,328,150
USR0000CVAL,1990,7,18,264,350,156
USR0000CVAL,1990,7,19,286,361,161
USR0000CVAL,1990,7,2,-9999,-9999,-9999
USR0000CVAL,1990,7,20,252,344,150
USR0000CVAL,1990,7,21,254,328,156
USR0000CVAL,1990,7,22,249,339,150
USR0000CVAL,1990,7,23,229,339,167
USR0000CVAL,1990,7,24,227,311,139
USR0000CVAL,1990,7,25,214,300,111
USR0000CVAL,1990,7,26,217,322,83
USR0000CVAL,1990,7,27,228,333,83
USR0000CVAL,1990,7,28,-9999,-9999,-9999
USR0000CVAL,1990,7,29,-9999,-9999,-9999
USR0000CVAL,1990,7,3,241,322,133
USR0000CVAL,1990,7,30,189,206,172
USR0000CVAL,1990,7,31,275,367,133
USR0000CVAL,1990,7,4,228,333,111
USR0000CVAL,1990,7,5,242,339,117
USR0000CVAL,1990,7,6,242,322,106
USR0000CVAL,1990,7,7,186,261,133
USR0000CVAL,1990,7,8,193,272,128
USR0000CVAL,1990,7,9,235,322,128
USR0000CVAL,1990,8,1,200,311,100
USR0000CVAL,1990,8,10,247,344,167
USR0000CVAL,1990,8,11,261,350,178
USR0000CVAL,1990,8,12,271,361,178
USR0000CVAL,1990,8,13,217,294,167
USR0000CVAL,1990,8,14,178,206,167
USR0000CVAL,1990,8,15,193,250,161
USR0000CVAL,1990,8,16,218,283,150
USR0000CVAL,1990,8,17,218,306,111
USR0000CVAL,1990,8,18,236,289,161
USR0000CVAL,1990,8,19,225,283,150
USR0000CVAL,1990,8,2,200,294,133
USR0000CVAL,1990,8,20,224,278,111
USR0000CVAL,1990,8,21,208,300,83
USR0000CVAL,1990,8,22,201,306,89
USR0000CVAL,1990,8,23,185,294,122
USR0000CVAL,1990,8,24,194,267,156
USR0000CVAL,1990,8,25,187,272,128
USR0000CVAL,1990,8,26,181,283,106
USR0000CVAL,1990,8,27,197,333,72
USR0000CVAL,1990,8,28,228,372,128
USR0000CVAL,1990,8,29,232,344,133
USR0000CVAL,1990,8,3,195,294,150
USR0000CVAL,1990,8,30,209,339,111
USR0000CVAL,1990,8,31,199,322,111
USR0000CVAL,1990,8,4,216,322,150
USR0000CVAL,1990,8,5,246,344,150
USR0000CVAL,1990,8,6,271,361,167
USR0000CVAL,1990,8,7,264,350,178
USR0000CVAL,1990,8,8,237,344,172
USR0000CVAL,1990,8,9,246,333,172
USR0000CVAL,1990,9,1,192,322,111
USR0000CVAL,1990,9,10,267,400,150
USR0000CVAL,1990,9,11,274,417,128
USR0000CVAL,1990,9,12,257,400,150
USR0000CVAL,1990,9,13,247,361,111
USR0000CVAL,1990,9,14,223,333,139
USR0000CVAL,1990,9,15,218,333,111
USR0000CVAL,1990,9,16,203,300,78
USR0000CVAL,1990,9,17,194,278,128
USR0000CVAL,1990,9,18,187,267,133
USR0000CVAL,1990,9,19,182,239,150
USR0000CVAL,1990,9,2,211,333,128
USR0000CVAL,1990,9,20,174,228,150
USR0000CVAL,1990,9,21,181,261,128
USR0000CVAL,1990,9,22,189,272,111
USR0000CVAL,1990,9,23,194,283,139
USR0000CVAL,1990,9,24,194,278,122
USR0000CVAL,1990,9,25,197,306,100
USR0000CVAL,1990,9,26,209,311,111
USR0000CVAL,1990,9,27,184,267,94
USR0000CVAL,1990,9,28,189,261,133
USR0000CVAL,1990,9,29,188,283,100
USR0000CVAL,1990,9,3,215,339,128
USR0000CVAL,1990,9,30,219,328,144
USR0000CVAL,1990,9,31,-9999,-9999,-9999
USR0000CVAL,1990,9,4,246,339,167
USR0000CVAL,1990,9,5,259,350,183
USR0000CVAL,1990,9,6,254,356,172
USR0000CVAL,1990,9,7,268,378,150
USR0000CVAL,1990,9,8,273,372,150
USR0000CVAL,1990,9,9,282,394,150
USR0000CVAL,1990,10,1,189,233,156
USR0000CVAL,1990,10,10,184,339,78
USR0000CVAL,1990,10,11,163,311,61
USR0000CVAL,1990,10,12,173,322,72
USR0000CVAL,1990,10,13,177,283,72
USR0000CVAL,1990,10,14,172,283,78
USR0000CVAL,1990,10,15,181,272,128
USR0000CVAL,1990,10,16,188,278,128
USR0000CVAL,1990,10,17,188,272,122
USR0000CVAL,1990,10,18,194,272,117
USR0000CVAL,1990,10,19,168,206,128
USR0000CVAL,1990,10,2,179,233,161
USR0000CVAL,1990,10,20,182,283,94
USR0000CVAL,1990,10,21,205,300,94
USR0000CVAL,1990,10,22,187,317,67
USR0000CVAL,1990,10,23,199,339,78
USR0000CVAL,1990,10,24,217,361,83
USR0000CVAL,1990,10,25,214,372,89
USR0000CVAL,1990,10,26,188,344,83
USR0000CVAL,1990,10,27,188,339,78
USR0000CVAL,1990,10,28,189,339,83
USR0000CVAL,1990,10,29,179,322,72
USR0000CVAL,1990,10,3,193,322,128
USR0000CVAL,1990,10,30,175,311,83
USR0000CVAL,1990,10,31,153,267,78
USR0000CVAL,1990,10,4,208,361,122
USR0000CVAL,1990,10,5,198,328,117
USR0000CVAL,1990,10,6,172,261,111
USR0000CVAL,1990,10,7,169,233,94
USR0000CVAL,1990,10,8,192,322,72
USR0000CVAL,1990,10,9,242,339,111
USR0000CVAL,1990,11,1,147,206,100
USR0000CVAL,1990,11,10,223,350,100
USR0000CVAL,1990,11,11,183,317,72
USR0000CVAL,1990,11,12,194,333,100
USR0000CVAL,1990,11,13,177,322,72
USR0000CVAL,1990,11,14,141,283,44
USR0000CVAL,1990,11,15,144,272,44
USR0000CVAL,1990,11,16,156,272,56
USR0000CVAL,1990,11,17,150,228,89
USR0000CVAL,1990,11,18,139,228,83
USR0000CVAL,1990,11,19,134,178,100
USR0000CVAL,1990,11,2,111,211,11
USR0000CVAL,1990,11,20,115,178,61
USR0000CVAL,1990,11,21,108,189,44
USR0000CVAL,1990,11,22,169,261,72
USR0000CVAL,1990,11,23,169,289,61
USR0000CVAL,1990,11,24,149,272,50
