ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CWAR,1986,4,1,-9999,-9999,-9999
USR0000CWAR,1986,4,10,-9999,-9999,-9999
USR0000CWAR,1986,4,11,110,151,77
USR0000CWAR,1986,4,12,60,73,37
USR0000CWAR,1986,4,13,88,131,14
USR0000CWAR,1986,4,14,108,171,53
USR0000CWAR,1986,4,15,76,131,41
USR0000CWAR,1986,4,16,62,127,22
USR0000CWAR,1986,4,17,56,96,22
USR0000CWAR,1986,4,18,111,155,53
USR0000CWAR,1986,4,19,151,190,100
USR0000CWAR,1986,4,2,-9999,-9999,-9999
USR0000CWAR,1986,4,20,188,241,139
USR0000CWAR,1986,4,21,199,253,131
USR0000CWAR,1986,4,22,134,194,88
USR0000CWAR,1986,4,23,106,167,64
USR0000CWAR,1986,4,24,82,151,49
USR0000CWAR,1986,4,25,101,167,53
USR0000CWAR,1986,4,26,116,167,57
USR0000CWAR,1986,4,27,165,241,116
USR0000CWAR,1986,4,28,178,241,123
USR0000CWAR,1986,4,29,131,190,100
USR0000CWAR,1986,4,3,-9999,-9999,-9999
USR0000CWAR,1986,4,30,124,178,84
USR0000CWAR,1986,4,31,-9999,-9999,-9999
USR0000CWAR,1986,4,4,-9999,-9999,-9999
USR0000CWAR,1986,4,5,-9999,-9999,-9999
USR0000CWAR,1986,4,6,-9999,-9999,-9999
USR0000CWAR,1986,4,7,-9999,-9999,-9999
USR0000CWAR,1986,4,8,-9999,-9999,-9999
USR0000CWAR,1986,4,9,-9999,-9999,-9999
USR0000CWAR,1986,5,1,141,210,92
USR0000CWAR,1986,5,10,136,198,88
USR0000CWAR,1986,5,11,121,174,81
USR0000CWAR,1986,5,12,129,190,73
USR0000CWAR,1986,5,13,149,202,104
USR0000CWAR,1986,5,14,113,139,84
USR0000CWAR,1986,5,15,128,186,84
USR0000CWAR,1986,5,16,183,249,116
USR0000CWAR,1986,5,17,205,249,167
USR0000CWAR,1986,5,18,219,257,186
USR0000CWAR,1986,5,19,204,249,163
USR0000CWAR,1986,5,2,151,218,104
USR0000CWAR,1986,5,20,166,229,112
USR0000CWAR,1986,5,21,108,143,88
USR0000CWAR,1986,5,22,134,202,81
USR0000CWAR,1986,5,23,134,182,81
USR0000CWAR,1986,5,24,203,281,123
USR0000CWAR,1986,5,25,237,292,190
USR0000CWAR,1986,5,26,205,261,143
USR0000CWAR,1986,5,27,193,257,155
USR0000CWAR,1986,5,28,207,257,155
USR0000CWAR,1986,5,29,209,257,151
USR0000CWAR,1986,5,3,106,163,53
USR0000CWAR,1986,5,30,204,218,174
USR0000CWAR,1986,5,31,166,226,-14
USR0000CWAR,1986,5,4,81,143,33
USR0000CWAR,1986,5,5,92,143,45
USR0000CWAR,1986,5,6,73,116,37
USR0000CWAR,1986,5,7,79,119,18
USR0000CWAR,1986,5,8,145,190,108
USR0000CWAR,1986,5,9,159,222,108
USR0000CWAR,1986,6,1,211,229,171
USR0000CWAR,1986,6,10,-9999,-9999,-9999
USR0000CWAR,1986,6,11,-9999,-9999,-9999
USR0000CWAR,1986,6,12,-9999,-9999,-9999
USR0000CWAR,1986,6,13,-9999,-9999,-9999
USR0000CWAR,1986,6,14,-9999,-9999,-9999
USR0000CWAR,1986,6,15,-9999,-9999,-9999
USR0000CWAR,1986,6,16,-9999,-9999,-9999
USR0000CWAR,1986,6,17,-9999,-9999,-9999
USR0000CWAR,1986,6,18,-9999,-9999,-9999
USR0000CWAR,1986,6,19,-9999,-9999,-9999
USR0000CWAR,1986,6,2,188,218,119
USR0000CWAR,1986,6,20,-9999,-9999,-9999
USR0000CWAR,1986,6,21,-9999,-9999,-9999
USR0000CWAR,1986,6,22,-9999,-9999,-9999
USR0000CWAR,1986,6,23,-9999,-9999,-9999
USR0000CWAR,1986,6,24,-9999,-9999,-9999
USR0000CWAR,1986,6,25,-9999,-9999,-9999
USR0000CWAR,1986,6,26,-9999,-9999,-9999
USR0000CWAR,1986,6,27,-9999,-9999,-9999
USR0000CWAR,1986,6,28,-9999,-9999,-9999
USR0000CWAR,1986,6,29,-9999,-9999,-9999
USR0000CWAR,1986,6,3,197,245,155
USR0000CWAR,1986,6,30,-9999,-9999,-9999
USR0000CWAR,1986,6,31,-9999,-9999,-9999
USR0000CWAR,1986,6,4,193,218,155
USR0000CWAR,1986,6,5,-9999,-9999,-9999
USR0000CWAR,1986,6,6,-9999,-9999,-9999
USR0000CWAR,1986,6,7,-9999,-9999,-9999
USR0000CWAR,1986,6,8,-9999,-9999,-9999
USR0000CWAR,1986,6,9,-9999,-9999,-9999
USR0000CWAR,1986,8,1,-9999,-9999,-9999
USR0000CWAR,1986,8,10,-9999,-9999,-9999
USR0000CWAR,1986,8,11,-9999,-9999,-9999
USR0000CWAR,1986,8,12,-9999,-9999,-9999
USR0000CWAR,1986,8,13,-9999,-9999,-9999
USR0000CWAR,1986,8,14,-9999,-9999,-9999
USR0000CWAR,1986,8,15,233,256,211
USR0000CWAR,1986,8,16,-9999,-9999,-9999
USR0000CWAR,1986,8,17,-9999,-9999,-9999
USR0000CWAR,1986,8,18,-9999,-9999,-9999
USR0000CWAR,1986,8,19,-9999,-9999,-9999
USR0000CWAR,1986,8,2,-9999,-9999,-9999
USR0000CWAR,1986,8,20,-9999,-9999,-9999
USR0000CWAR,1986,8,21,-9999,-9999,-9999
USR0000CWAR,1986,8,22,-9999,-9999,-9999
USR0000CWAR,1986,8,23,-9999,-9999,-9999
USR0000CWAR,1986,8,24,-9999,-9999,-9999
USR0000CWAR,1986,8,25,-9999,-9999,-9999
USR0000CWAR,1986,8,26,-9999,-9999,-9999
USR0000CWAR,1986,8,27,-9999,-9999,-9999
USR0000CWAR,1986,8,28,-9999,-9999,-9999
USR0000CWAR,1986,8,29,-9999,-9999,-9999
USR0000CWAR,1986,8,3,-9999,-9999,-9999
USR0000CWAR,1986,8,30,-9999,-9999,-9999
USR0000CWAR,1986,8,31,-9999,-9999,-9999
USR0000CWAR,1986,8,4,-9999,-9999,-9999
USR0000CWAR,1986,8,5,-9999,-9999,-9999
USR0000CWAR,1986,8,6,-9999,-9999,-9999
USR0000CWAR,1986,8,7,-9999,-9999,-9999
USR0000CWAR,1986,8,8,-9999,-9999,-9999
USR0000CWAR,1986,8,9,-9999,-9999,-9999
USR0000CWAR,1986,9,1,-9999,-9999,-9999
USR0000CWAR,1986,9,10,-9999,-9999,-9999
USR0000CWAR,1986,9,11,-9999,-9999,-9999
USR0000CWAR,1986,9,12,-9999,-9999,-9999
USR0000CWAR,1986,9,13,-9999,-9999,-9999
USR0000CWAR,1986,9,14,-9999,-9999,-9999
USR0000CWAR,1986,9,15,-9999,-9999,-9999
USR0000CWAR,1986,9,16,-9999,-9999,-9999
USR0000CWAR,1986,9,17,185,237,127
USR0000CWAR,1986,9,18,139,202,96
USR0000CWAR,1986,9,19,108,159,73
USR0000CWAR,1986,9,2,-9999,-9999,-9999
USR0000CWAR,1986,9,20,112,182,57
USR0000CWAR,1986,9,21,118,194,69
USR0000CWAR,1986,9,22,108,167,53
USR0000CWAR,1986,9,23,73,116,41
USR0000CWAR,1986,9,24,72,88,57
USR0000CWAR,1986,9,25,81,136,45
USR0000CWAR,1986,9,26,82,131,45
USR0000CWAR,1986,9,27,77,116,53
USR0000CWAR,1986,9,28,107,171,53
USR0000CWAR,1986,9,29,160,218,100
USR0000CWAR,1986,9,3,-9999,-9999,-9999
USR0000CWAR,1986,9,30,172,233,127
USR0000CWAR,1986,9,31,-9999,-9999,-9999
USR0000CWAR,1986,9,4,-9999,-9999,-9999
USR0000CWAR,1986,9,5,-9999,-9999,-9999
USR0000CWAR,1986,9,6,-9999,-9999,-9999
USR0000CWAR,1986,9,7,-9999,-9999,-9999
USR0000CWAR,1986,9,8,-9999,-9999,-9999
USR0000CWAR,1986,9,9,-9999,-9999,-9999
USR0000CWAR,1986,10,1,101,123,69
USR0000CWAR,1986,10,10,131,210,96
USR0000CWAR,1986,10,11,106,143,84
USR0000CWAR,1986,10,12,121,171,73
USR0000CWAR,1986,10,13,140,182,96
USR0000CWAR,1986,10,14,171,210,123
USR0000CWAR,1986,10,15,169,229,136
USR0000CWAR,1986,10,16,165,202,131
USR0000CWAR,1986,10,17,106,155,73
USR0000CWAR,1986,10,18,84,136,49
USR0000CWAR,1986,10,19,114,167,77
USR0000CWAR,1986,10,2,96,155,57
USR0000CWAR,1986,10,20,119,163,77
USR0000CWAR,1986,10,21,139,186,100
USR0000CWAR,1986,10,22,139,171,116
USR0000CWAR,1986,10,23,133,186,104
USR0000CWAR,1986,10,24,152,222,104
USR0000CWAR,1986,10,25,206,233,186
USR0000CWAR,1986,10,26,195,261,163
USR0000CWAR,1986,10,27,186,245,155
USR0000CWAR,1986,10,28,180,233,159
USR0000CWAR,1986,10,29,187,237,151
USR0000CWAR,1986,10,3,131,182,64
USR0000CWAR,1986,10,30,122,163,77
USR0000CWAR,1986,10,31,112,155,57
USR0000CWAR,1986,10,4,149,194,104
USR0000CWAR,1986,10,5,172,206,139
USR0000CWAR,1986,10,6,188,233,167
USR0000CWAR,1986,10,7,192,249,159
USR0000CWAR,1986,10,8,187,245,136
USR0000CWAR,1986,10,9,161,198,96
USR0000CWAR,1986,11,1,114,151,77
USR0000CWAR,1986,11,10,109,139,84
USR0000CWAR,1986,11,11,129,159,100
USR0000CWAR,1986,11,12,147,178,112
USR0000CWAR,1986,11,13,143,198,81
USR0000CWAR,1986,11,14,87,136,53
USR0000CWAR,1986,11,15,108,159,57
USR0000CWAR,1986,11,16,136,182,116
USR0000CWAR,1986,11,17,101,112,88
USR0000CWAR,1986,11,18,87,96,81
USR0000CWAR,1986,11,19,109,151,88
USR0000CWAR,1986,11,2,129,171,84
USR0000CWAR,1986,11,20,131,174,96
USR0000CWAR,1986,11,21,87,119,53
USR0000CWAR,1986,11,22,75,131,33
USR0000CWAR,1986,11,23,82,112,41
USR0000CWAR,1986,11,24,124,206,64
USR0000CWAR,1986,11,25,93,131,49
USR0000CWAR,1986,11,26,118,143,92
USR0000CWAR,1986,11,27,121,174,96
USR0000CWAR,1986,11,28,123,198,81
USR0000CWAR,1986,11,29,76,104,41
USR0000CWAR,1986,11,3,173,237,123
USR0000CWAR,1986,11,30,68,88,37
USR0000CWAR,1986,11,31,-9999,-9999,-9999
USR0000CWAR,1986,11,4,171,202,143
USR0000CWAR,1986,11,5,175,229,127
USR0000CWAR,1986,11,6,100,131,53
USR0000CWAR,1986,11,7,72,139,41
USR0000CWAR,1986,11,8,78,123,37
USR0000CWAR,1986,11,9,96,123,64
USR0000CWAR,1986,12,1,86,112,-67
USR0000CWAR,1986,12,10,47,73,22
USR0000CWAR,1986,12,11,70,119,45
USR0000CWAR,1986,12,12,57,88,33
USR0000CWAR,1986,12,13,75,127,45
USR0000CWAR,1986,12,14,64,108,45
USR0000CWAR,1986,12,15,53,104,37
USR0000CWAR,1986,12,16,54,81,29
USR0000CWAR,1986,12,17,78,108,49
USR0000CWAR,1986,12,18,69,96,49
USR0000CWAR,1986,12,19,60,116,33
USR0000CWAR,1986,12,2,106,147,88
USR0000CWAR,1986,12,20,48,77,18
USR0000CWAR,1986,12,21,76,112,49
USR0000CWAR,1986,12,22,87,147,61
USR0000CWAR,1986,12,23,74,139,57
USR0000CWAR,1986,12,24,84,151,53
USR0000CWAR,1986,12,25,63,96,45
USR0000CWAR,1986,12,26,74,112,49
USR0000CWAR,1986,12,27,67,108,37
USR0000CWAR,1986,12,28,70,92,41
USR0000CWAR,1986,12,29,83,119,64
USR0000CWAR,1986,12,3,127,202,84
USR0000CWAR,1986,12,30,83,119,64
USR0000CWAR,1986,12,31,91,136,64
USR0000CWAR,1986,12,4,102,139,77
USR0000CWAR,1986,12,5,77,116,41
USR0000CWAR,1986,12,6,44,64,22
USR0000CWAR,1986,12,7,42,69,22
USR0000CWAR,1986,12,8,73,123,37
USR0000CWAR,1986,12,9,67,100,49
