ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CWEE,1990,5,1,-9999,-9999,-9999
USR0000CWEE,1990,5,10,145,217,44
USR0000CWEE,1990,5,11,104,183,56
USR0000CWEE,1990,5,12,72,122,56
USR0000CWEE,1990,5,13,-9999,-9999,-9999
USR0000CWEE,1990,5,14,118,178,61
USR0000CWEE,1990,5,15,103,200,0
USR0000CWEE,1990,5,16,144,228,22
USR0000CWEE,1990,5,17,131,206,50
USR0000CWEE,1990,5,18,94,178,22
USR0000CWEE,1990,5,19,78,111,39
USR0000CWEE,1990,5,2,169,217,94
USR0000CWEE,1990,5,20,101,133,61
USR0000CWEE,1990,5,21,104,128,83
USR0000CWEE,1990,5,22,100,111,83
USR0000CWEE,1990,5,23,79,128,39
USR0000CWEE,1990,5,24,83,133,6
USR0000CWEE,1990,5,25,113,178,44
USR0000CWEE,1990,5,26,107,128,83
USR0000CWEE,1990,5,27,103,133,67
USR0000CWEE,1990,5,28,112,167,67
USR0000CWEE,1990,5,29,110,156,72
USR0000CWEE,1990,5,3,161,261,50
USR0000CWEE,1990,5,30,82,100,50
USR0000CWEE,1990,5,31,57,94,33
USR0000CWEE,1990,5,4,194,300,72
USR0000CWEE,1990,5,5,201,311,94
USR0000CWEE,1990,5,6,117,167,44
USR0000CWEE,1990,5,7,89,167,17
USR0000CWEE,1990,5,8,82,189,-11
USR0000CWEE,1990,5,9,117,233,22
USR0000CWEE,1990,6,1,92,156,17
USR0000CWEE,1990,6,10,141,183,83
USR0000CWEE,1990,6,11,163,217,100
USR0000CWEE,1990,6,12,124,178,61
USR0000CWEE,1990,6,13,128,183,67
USR0000CWEE,1990,6,14,169,217,78
USR0000CWEE,1990,6,15,166,244,100
USR0000CWEE,1990,6,16,148,228,83
USR0000CWEE,1990,6,17,133,217,72
USR0000CWEE,1990,6,18,146,244,67
USR0000CWEE,1990,6,19,173,278,83
USR0000CWEE,1990,6,2,159,211,67
USR0000CWEE,1990,6,20,207,311,128
USR0000CWEE,1990,6,21,208,283,139
USR0000CWEE,1990,6,22,223,267,183
USR0000CWEE,1990,6,23,193,289,100
USR0000CWEE,1990,6,24,189,272,128
USR0000CWEE,1990,6,25,187,272,100
USR0000CWEE,1990,6,26,177,272,94
USR0000CWEE,1990,6,27,170,256,94
USR0000CWEE,1990,6,28,193,294,83
USR0000CWEE,1990,6,29,188,256,128
USR0000CWEE,1990,6,3,158,217,61
USR0000CWEE,1990,6,30,-9999,-9999,-9999
USR0000CWEE,1990,6,31,-9999,-9999,-9999
USR0000CWEE,1990,6,4,131,217,33
USR0000CWEE,1990,6,5,147,217,50
USR0000CWEE,1990,6,6,160,222,83
USR0000CWEE,1990,6,7,153,244,39
USR0000CWEE,1990,6,8,177,283,78
USR0000CWEE,1990,6,9,161,272,83
USR0000CWEE,1990,7,1,-9999,-9999,-9999
USR0000CWEE,1990,7,10,268,350,156
USR0000CWEE,1990,7,11,286,367,183
USR0000CWEE,1990,7,12,287,378,178
USR0000CWEE,1990,7,13,283,372,183
USR0000CWEE,1990,7,14,289,383,189
USR0000CWEE,1990,7,15,267,383,178
USR0000CWEE,1990,7,16,263,333,183
USR0000CWEE,1990,7,17,228,283,178
USR0000CWEE,1990,7,18,231,322,167
USR0000CWEE,1990,7,19,216,272,167
USR0000CWEE,1990,7,2,-169,100,-439
USR0000CWEE,1990,7,20,262,328,161
USR0000CWEE,1990,7,21,286,350,183
USR0000CWEE,1990,7,22,289,344,189
USR0000CWEE,1990,7,23,232,300,150
USR0000CWEE,1990,7,24,186,244,128
USR0000CWEE,1990,7,25,179,239,117
USR0000CWEE,1990,7,26,229,300,117
USR0000CWEE,1990,7,27,249,322,150
USR0000CWEE,1990,7,28,-9999,-9999,-9999
USR0000CWEE,1990,7,29,-9999,-9999,-9999
USR0000CWEE,1990,7,3,198,272,78
USR0000CWEE,1990,7,30,249,317,178
USR0000CWEE,1990,7,31,261,333,150
USR0000CWEE,1990,7,4,193,228,144
USR0000CWEE,1990,7,5,177,228,111
USR0000CWEE,1990,7,6,168,244,94
USR0000CWEE,1990,7,7,208,306,150
USR0000CWEE,1990,7,8,238,317,133
USR0000CWEE,1990,7,9,238,317,144
USR0000CWEE,1990,8,1,244,322,133
USR0000CWEE,1990,8,10,249,350,139
USR0000CWEE,1990,8,11,256,344,161
USR0000CWEE,1990,8,12,246,344,161
USR0000CWEE,1990,8,13,245,339,139
USR0000CWEE,1990,8,14,211,294,128
USR0000CWEE,1990,8,15,213,278,150
USR0000CWEE,1990,8,16,189,228,150
USR0000CWEE,1990,8,17,183,217,144
USR0000CWEE,1990,8,18,141,172,94
USR0000CWEE,1990,8,19,174,217,83
USR0000CWEE,1990,8,2,243,328,128
USR0000CWEE,1990,8,20,166,233,83
USR0000CWEE,1990,8,21,187,278,72
USR0000CWEE,1990,8,22,179,289,100
USR0000CWEE,1990,8,23,174,294,94
USR0000CWEE,1990,8,24,149,244,78
USR0000CWEE,1990,8,25,139,178,117
USR0000CWEE,1990,8,26,131,167,106
USR0000CWEE,1990,8,27,164,217,139
USR0000CWEE,1990,8,28,184,267,94
USR0000CWEE,1990,8,29,167,244,128
USR0000CWEE,1990,8,3,257,356,128
USR0000CWEE,1990,8,30,154,244,89
USR0000CWEE,1990,8,31,166,278,72
USR0000CWEE,1990,8,4,269,361,150
USR0000CWEE,1990,8,5,267,372,161
USR0000CWEE,1990,8,6,275,389,156
USR0000CWEE,1990,8,7,287,378,183
USR0000CWEE,1990,8,8,244,344,172
USR0000CWEE,1990,8,9,223,322,133
USR0000CWEE,1990,9,1,181,294,89
USR0000CWEE,1990,9,10,227,328,100
USR0000CWEE,1990,9,11,212,311,106
USR0000CWEE,1990,9,12,176,272,72
USR0000CWEE,1990,9,13,184,283,72
USR0000CWEE,1990,9,14,172,217,117
USR0000CWEE,1990,9,15,144,217,72
USR0000CWEE,1990,9,16,144,233,61
USR0000CWEE,1990,9,17,157,250,67
USR0000CWEE,1990,9,18,148,256,78
USR0000CWEE,1990,9,19,158,256,56
USR0000CWEE,1990,9,2,158,272,89
USR0000CWEE,1990,9,20,172,272,72
USR0000CWEE,1990,9,21,183,294,67
USR0000CWEE,1990,9,22,196,300,94
USR0000CWEE,1990,9,23,196,283,150
USR0000CWEE,1990,9,24,182,244,117
USR0000CWEE,1990,9,25,133,178,83
USR0000CWEE,1990,9,26,131,206,72
USR0000CWEE,1990,9,27,158,256,61
USR0000CWEE,1990,9,28,187,283,100
USR0000CWEE,1990,9,29,184,289,94
USR0000CWEE,1990,9,3,176,272,100
USR0000CWEE,1990,9,30,191,311,83
USR0000CWEE,1990,9,31,-9999,-9999,-9999
USR0000CWEE,1990,9,4,191,272,72
USR0000CWEE,1990,9,5,202,283,117
USR0000CWEE,1990,9,6,209,294,139
USR0000CWEE,1990,9,7,211,283,122
USR0000CWEE,1990,9,8,197,294,89
USR0000CWEE,1990,9,9,211,322,89
USR0000CWEE,1990,10,1,183,267,100
USR0000CWEE,1990,10,10,117,200,22
USR0000CWEE,1990,10,11,82,189,-11
USR0000CWEE,1990,10,12,109,217,6
USR0000CWEE,1990,10,13,101,172,33
USR0000CWEE,1990,10,14,106,228,6
USR0000CWEE,1990,10,15,150,228,78
USR0000CWEE,1990,10,16,87,144,6
USR0000CWEE,1990,10,17,97,206,-11
USR0000CWEE,1990,10,18,102,156,50
USR0000CWEE,1990,10,19,58,117,-6
USR0000CWEE,1990,10,2,123,189,67
USR0000CWEE,1990,10,20,49,139,-28
USR0000CWEE,1990,10,21,75,139,-6
USR0000CWEE,1990,10,22,104,178,44
USR0000CWEE,1990,10,23,93,189,6
USR0000CWEE,1990,10,24,121,222,28
USR0000CWEE,1990,10,25,187,228,100
USR0000CWEE,1990,10,26,125,217,44
USR0000CWEE,1990,10,27,128,217,33
USR0000CWEE,1990,10,28,133,156,44
USR0000CWEE,1990,10,29,82,178,0
USR0000CWEE,1990,10,3,131,222,56
USR0000CWEE,1990,10,30,119,150,100
USR0000CWEE,1990,10,31,82,111,33
USR0000CWEE,1990,10,4,166,272,61
USR0000CWEE,1990,10,5,123,172,50
USR0000CWEE,1990,10,6,76,144,11
USR0000CWEE,1990,10,7,67,161,-22
USR0000CWEE,1990,10,8,84,189,-11
USR0000CWEE,1990,10,9,117,239,22
USR0000CWEE,1990,11,1,43,83,-6
USR0000CWEE,1990,11,10,22,56,-6
USR0000CWEE,1990,11,11,2,50,-22
USR0000CWEE,1990,11,12,53,178,-28
USR0000CWEE,1990,11,13,110,156,-11
USR0000CWEE,1990,11,14,3,33,-39
USR0000CWEE,1990,11,15,-11,33,-44
USR0000CWEE,1990,11,16,-4,61,-44
