ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CWHT,1990,5,1,-9999,-9999,-9999
USR0000CWHT,1990,5,10,151,206,83
USR0000CWHT,1990,5,11,141,206,83
USR0000CWHT,1990,5,12,110,111,106
USR0000CWHT,1990,5,13,-9999,-9999,-9999
USR0000CWHT,1990,5,14,170,228,111
USR0000CWHT,1990,5,15,163,233,89
USR0000CWHT,1990,5,16,176,233,89
USR0000CWHT,1990,5,17,162,222,94
USR0000CWHT,1990,5,18,122,183,61
USR0000CWHT,1990,5,19,76,100,61
USR0000CWHT,1990,5,2,197,250,150
USR0000CWHT,1990,5,20,106,139,72
USR0000CWHT,1990,5,21,125,150,89
USR0000CWHT,1990,5,22,115,133,106
USR0000CWHT,1990,5,23,94,144,39
USR0000CWHT,1990,5,24,89,156,33
USR0000CWHT,1990,5,25,134,194,83
USR0000CWHT,1990,5,26,105,111,94
USR0000CWHT,1990,5,27,106,139,94
USR0000CWHT,1990,5,28,124,178,83
USR0000CWHT,1990,5,29,105,144,83
USR0000CWHT,1990,5,3,208,289,122
USR0000CWHT,1990,5,30,73,117,22
USR0000CWHT,1990,5,31,64,111,33
USR0000CWHT,1990,5,4,241,306,167
USR0000CWHT,1990,5,5,242,311,183
USR0000CWHT,1990,5,6,200,272,128
USR0000CWHT,1990,5,7,158,244,83
USR0000CWHT,1990,5,8,156,233,83
USR0000CWHT,1990,5,9,184,250,122
USR0000CWHT,1990,6,1,108,167,28
USR0000CWHT,1990,6,10,178,233,111
USR0000CWHT,1990,6,11,201,244,128
USR0000CWHT,1990,6,12,175,228,111
USR0000CWHT,1990,6,13,167,206,106
USR0000CWHT,1990,6,14,193,228,139
USR0000CWHT,1990,6,15,185,244,117
USR0000CWHT,1990,6,16,157,217,100
USR0000CWHT,1990,6,17,177,244,128
USR0000CWHT,1990,6,18,185,261,122
USR0000CWHT,1990,6,19,236,322,172
USR0000CWHT,1990,6,2,158,222,106
USR0000CWHT,1990,6,20,273,339,228
USR0000CWHT,1990,6,21,269,339,217
USR0000CWHT,1990,6,22,198,256,150
USR0000CWHT,1990,6,23,208,289,150
USR0000CWHT,1990,6,24,204,272,161
USR0000CWHT,1990,6,25,197,272,144
USR0000CWHT,1990,6,26,204,272,144
USR0000CWHT,1990,6,27,194,261,139
USR0000CWHT,1990,6,28,218,294,150
USR0000CWHT,1990,6,29,226,267,189
USR0000CWHT,1990,6,3,178,228,117
USR0000CWHT,1990,6,30,-9999,-9999,-9999
USR0000CWHT,1990,6,31,-9999,-9999,-9999
USR0000CWHT,1990,6,4,181,256,111
USR0000CWHT,1990,6,5,191,256,122
USR0000CWHT,1990,6,6,173,222,128
USR0000CWHT,1990,6,7,207,283,128
USR0000CWHT,1990,6,8,224,300,161
USR0000CWHT,1990,6,9,199,283,144
USR0000CWHT,1990,7,1,-9999,-9999,-9999
USR0000CWHT,1990,7,10,298,367,206
USR0000CWHT,1990,7,11,315,378,250
USR0000CWHT,1990,7,12,319,389,261
USR0000CWHT,1990,7,13,324,389,256
USR0000CWHT,1990,7,14,328,406,256
USR0000CWHT,1990,7,15,300,361,228
USR0000CWHT,1990,7,16,264,322,211
USR0000CWHT,1990,7,17,254,317,178
USR0000CWHT,1990,7,18,275,333,200
USR0000CWHT,1990,7,19,295,333,239
USR0000CWHT,1990,7,2,-9999,-9999,-9999
USR0000CWHT,1990,7,20,303,350,228
USR0000CWHT,1990,7,21,317,367,244
USR0000CWHT,1990,7,22,296,350,217
USR0000CWHT,1990,7,23,262,317,178
USR0000CWHT,1990,7,24,230,294,139
USR0000CWHT,1990,7,25,216,294,144
USR0000CWHT,1990,7,26,264,317,178
USR0000CWHT,1990,7,27,274,306,206
USR0000CWHT,1990,7,28,-9999,-9999,-9999
USR0000CWHT,1990,7,29,-9999,-9999,-9999
USR0000CWHT,1990,7,3,223,283,156
USR0000CWHT,1990,7,30,256,322,228
USR0000CWHT,1990,7,31,301,361,217
USR0000CWHT,1990,7,4,191,244,111
USR0000CWHT,1990,7,5,199,244,133
USR0000CWHT,1990,7,6,204,256,150
USR0000CWHT,1990,7,7,252,311,172
USR0000CWHT,1990,7,8,248,311,178
USR0000CWHT,1990,7,9,252,322,183
USR0000CWHT,1990,8,1,301,361,217
USR0000CWHT,1990,8,10,313,378,250
USR0000CWHT,1990,8,11,296,367,244
USR0000CWHT,1990,8,12,289,356,239
USR0000CWHT,1990,8,13,289,361,217
USR0000CWHT,1990,8,14,245,317,189
USR0000CWHT,1990,8,15,206,272,128
USR0000CWHT,1990,8,16,196,267,128
USR0000CWHT,1990,8,17,207,272,150
USR0000CWHT,1990,8,18,179,228,139
USR0000CWHT,1990,8,19,204,256,128
USR0000CWHT,1990,8,2,286,367,211
USR0000CWHT,1990,8,20,229,272,144
USR0000CWHT,1990,8,21,229,294,167
USR0000CWHT,1990,8,22,250,333,189
USR0000CWHT,1990,8,23,256,328,206
