ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CWWO,1988,8,1,-9999,-9999,-9999
USR0000CWWO,1988,8,10,-9999,-9999,-9999
USR0000CWWO,1988,8,11,107,178,61
USR0000CWWO,1988,8,12,116,211,39
USR0000CWWO,1988,8,13,110,206,22
USR0000CWWO,1988,8,14,103,194,11
USR0000CWWO,1988,8,15,107,200,22
USR0000CWWO,1988,8,16,139,244,44
USR0000CWWO,1988,8,17,149,261,44
USR0000CWWO,1988,8,18,166,278,61
USR0000CWWO,1988,8,19,184,283,111
USR0000CWWO,1988,8,2,-9999,-9999,-9999
USR0000CWWO,1988,8,20,146,272,94
USR0000CWWO,1988,8,21,152,244,78
USR0000CWWO,1988,8,22,167,272,83
USR0000CWWO,1988,8,23,183,272,94
USR0000CWWO,1988,8,24,178,261,117
USR0000CWWO,1988,8,25,188,278,117
USR0000CWWO,1988,8,26,182,261,117
USR0000CWWO,1988,8,27,179,283,106
USR0000CWWO,1988,8,28,170,267,111
USR0000CWWO,1988,8,29,143,267,100
USR0000CWWO,1988,8,3,-9999,-9999,-9999
USR0000CWWO,1988,8,30,149,261,94
USR0000CWWO,1988,8,31,133,250,94
USR0000CWWO,1988,8,4,-9999,-9999,-9999
USR0000CWWO,1988,8,5,-9999,-9999,-9999
USR0000CWWO,1988,8,6,-9999,-9999,-9999
USR0000CWWO,1988,8,7,-9999,-9999,-9999
USR0000CWWO,1988,8,8,-9999,-9999,-9999
USR0000CWWO,1988,8,9,-9999,-9999,-9999
USR0000CWWO,1988,9,1,138,256,100
USR0000CWWO,1988,9,10,124,228,50
USR0000CWWO,1988,9,11,114,211,44
USR0000CWWO,1988,9,12,99,200,22
USR0000CWWO,1988,9,13,92,206,6
USR0000CWWO,1988,9,14,113,222,33
USR0000CWWO,1988,9,15,104,228,39
USR0000CWWO,1988,9,16,105,211,28
USR0000CWWO,1988,9,17,94,200,11
USR0000CWWO,1988,9,18,107,228,17
USR0000CWWO,1988,9,19,88,178,6
USR0000CWWO,1988,9,2,161,278,89
USR0000CWWO,1988,9,20,44,117,0
USR0000CWWO,1988,9,21,48,122,0
USR0000CWWO,1988,9,22,76,183,-6
USR0000CWWO,1988,9,23,92,200,22
USR0000CWWO,1988,9,24,98,194,17
USR0000CWWO,1988,9,25,108,194,22
USR0000CWWO,1988,9,26,88,200,11
USR0000CWWO,1988,9,27,91,200,11
USR0000CWWO,1988,9,28,127,244,44
USR0000CWWO,1988,9,29,141,256,61
USR0000CWWO,1988,9,3,190,294,106
USR0000CWWO,1988,9,30,140,261,67
USR0000CWWO,1988,9,31,-9999,-9999,-9999
USR0000CWWO,1988,9,4,193,289,117
USR0000CWWO,1988,9,5,183,294,106
USR0000CWWO,1988,9,6,156,278,94
USR0000CWWO,1988,9,7,162,272,83
USR0000CWWO,1988,9,8,159,267,89
USR0000CWWO,1988,9,9,123,217,67
USR0000CWWO,1988,10,1,143,250,50
USR0000CWWO,1988,10,10,102,183,44
USR0000CWWO,1988,10,11,85,156,22
USR0000CWWO,1988,10,12,61,178,-28
USR0000CWWO,1988,10,13,72,156,22
USR0000CWWO,1988,10,14,56,161,-17
USR0000CWWO,1988,10,15,126,250,22
USR0000CWWO,1988,10,16,128,250,61
