ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CYUC,1990,5,1,-9999,-9999,-9999
USR0000CYUC,1990,5,10,162,211,94
USR0000CYUC,1990,5,11,154,233,61
USR0000CYUC,1990,5,12,94,189,61
USR0000CYUC,1990,5,13,-9999,-9999,-9999
USR0000CYUC,1990,5,14,187,233,111
USR0000CYUC,1990,5,15,172,250,72
USR0000CYUC,1990,5,16,194,278,61
USR0000CYUC,1990,5,17,191,256,89
USR0000CYUC,1990,5,18,171,250,67
USR0000CYUC,1990,5,19,149,228,89
USR0000CYUC,1990,5,2,183,250,111
USR0000CYUC,1990,5,20,168,250,61
USR0000CYUC,1990,5,21,197,272,89
USR0000CYUC,1990,5,22,216,294,100
USR0000CYUC,1990,5,23,198,250,144
USR0000CYUC,1990,5,24,170,272,67
USR0000CYUC,1990,5,25,181,261,72
USR0000CYUC,1990,5,26,193,261,94
USR0000CYUC,1990,5,27,179,244,94
USR0000CYUC,1990,5,28,121,156,83
USR0000CYUC,1990,5,29,150,217,44
USR0000CYUC,1990,5,3,194,272,89
USR0000CYUC,1990,5,30,163,233,72
USR0000CYUC,1990,5,31,157,244,67
USR0000CYUC,1990,5,4,215,283,106
USR0000CYUC,1990,5,5,223,306,128
USR0000CYUC,1990,5,6,233,306,111
USR0000CYUC,1990,5,7,233,283,183
USR0000CYUC,1990,5,8,198,278,111
USR0000CYUC,1990,5,9,177,267,72
USR0000CYUC,1990,6,1,168,250,72
USR0000CYUC,1990,6,10,-336,178,-500
USR0000CYUC,1990,6,11,239,283,172
USR0000CYUC,1990,6,12,223,294,128
USR0000CYUC,1990,6,13,208,261,111
USR0000CYUC,1990,6,14,215,233,178
USR0000CYUC,1990,6,15,169,228,72
USR0000CYUC,1990,6,16,199,283,83
USR0000CYUC,1990,6,17,217,283,111
USR0000CYUC,1990,6,18,202,311,111
USR0000CYUC,1990,6,19,214,322,106
USR0000CYUC,1990,6,2,217,322,89
USR0000CYUC,1990,6,20,257,356,167
USR0000CYUC,1990,6,21,277,383,167
USR0000CYUC,1990,6,22,271,356,172
USR0000CYUC,1990,6,23,276,361,167
USR0000CYUC,1990,6,24,295,378,217
USR0000CYUC,1990,6,25,273,383,183
USR0000CYUC,1990,6,26,287,400,189
USR0000CYUC,1990,6,27,310,389,222
USR0000CYUC,1990,6,28,291,378,161
USR0000CYUC,1990,6,29,292,361,217
USR0000CYUC,1990,6,3,267,367,133
USR0000CYUC,1990,6,30,-9999,-9999,-9999
USR0000CYUC,1990,6,31,-9999,-9999,-9999
USR0000CYUC,1990,6,4,269,372,150
USR0000CYUC,1990,6,5,266,339,150
USR0000CYUC,1990,6,6,251,328,133
USR0000CYUC,1990,6,7,251,333,139
USR0000CYUC,1990,6,8,274,350,200
USR0000CYUC,1990,6,9,210,272,161
USR0000CYUC,1990,7,1,-9999,-9999,-9999
USR0000CYUC,1990,7,10,33,317,-500
USR0000CYUC,1990,7,11,220,289,6
USR0000CYUC,1990,7,12,332,378,256
USR0000CYUC,1990,7,13,303,350,256
USR0000CYUC,1990,7,14,279,333,211
USR0000CYUC,1990,7,15,271,333,194
USR0000CYUC,1990,7,16,269,328,206
USR0000CYUC,1990,7,17,287,350,189
USR0000CYUC,1990,7,18,313,378,189
USR0000CYUC,1990,7,19,324,378,217
USR0000CYUC,1990,7,2,-9999,-9999,-9999
USR0000CYUC,1990,7,20,301,350,244
USR0000CYUC,1990,7,21,300,356,211
USR0000CYUC,1990,7,22,306,361,206
USR0000CYUC,1990,7,23,289,344,244
USR0000CYUC,1990,7,24,277,333,211
USR0000CYUC,1990,7,25,260,322,189
USR0000CYUC,1990,7,26,259,333,128
USR0000CYUC,1990,7,27,271,350,139
USR0000CYUC,1990,7,28,-9999,-9999,-9999
USR0000CYUC,1990,7,29,-9999,-9999,-9999
USR0000CYUC,1990,7,3,278,322,206
USR0000CYUC,1990,7,30,257,283,233
USR0000CYUC,1990,7,31,312,356,217
USR0000CYUC,1990,7,4,261,333,156
USR0000CYUC,1990,7,5,277,350,161
USR0000CYUC,1990,7,6,271,333,150
USR0000CYUC,1990,7,7,271,311,228
USR0000CYUC,1990,7,8,273,322,206
USR0000CYUC,1990,7,9,285,333,189
USR0000CYUC,1990,8,1,278,333,206
USR0000CYUC,1990,8,10,74,356,-500
USR0000CYUC,1990,8,11,328,356,306
USR0000CYUC,1990,8,12,285,339,189
USR0000CYUC,1990,8,13,-9999,-9999,-9999
USR0000CYUC,1990,8,14,234,256,217
USR0000CYUC,1990,8,15,231,283,178
USR0000CYUC,1990,8,16,259,311,167
USR0000CYUC,1990,8,17,263,317,167
USR0000CYUC,1990,8,18,263,311,156
USR0000CYUC,1990,8,19,233,278,156
USR0000CYUC,1990,8,2,264,311,189
USR0000CYUC,1990,8,20,233,272,100
USR0000CYUC,1990,8,21,239,306,106
USR0000CYUC,1990,8,22,236,333,128
USR0000CYUC,1990,8,23,240,317,133
USR0000CYUC,1990,8,24,214,283,111
USR0000CYUC,1990,8,25,203,283,111
USR0000CYUC,1990,8,26,221,289,156
USR0000CYUC,1990,8,27,228,328,111
USR0000CYUC,1990,8,28,260,350,161
USR0000CYUC,1990,8,29,267,350,189
USR0000CYUC,1990,8,3,278,339,206
USR0000CYUC,1990,8,30,254,339,161
USR0000CYUC,1990,8,31,258,339,167
USR0000CYUC,1990,8,4,306,372,217
USR0000CYUC,1990,8,5,199,367,-500
USR0000CYUC,1990,8,6,271,350,28
USR0000CYUC,1990,8,7,288,350,178
USR0000CYUC,1990,8,8,283,350,200
USR0000CYUC,1990,8,9,302,367,194
USR0000CYUC,1990,9,1,259,328,167
USR0000CYUC,1990,9,10,293,378,183
USR0000CYUC,1990,9,11,293,389,156
USR0000CYUC,1990,9,12,274,367,178
USR0000CYUC,1990,9,13,274,361,178
USR0000CYUC,1990,9,14,260,333,167
USR0000CYUC,1990,9,15,258,328,189
USR0000CYUC,1990,9,16,243,306,178
USR0000CYUC,1990,9,17,219,289,128
USR0000CYUC,1990,9,18,201,289,94
USR0000CYUC,1990,9,19,197,278,100
USR0000CYUC,1990,9,2,256,317,217
USR0000CYUC,1990,9,20,211,267,117
USR0000CYUC,1990,9,21,185,244,111
USR0000CYUC,1990,9,22,187,256,89
USR0000CYUC,1990,9,23,198,272,111
USR0000CYUC,1990,9,24,195,278,94
USR0000CYUC,1990,9,25,202,283,100
USR0000CYUC,1990,9,26,204,294,100
USR0000CYUC,1990,9,27,185,272,100
USR0000CYUC,1990,9,28,192,261,89
USR0000CYUC,1990,9,29,194,239,144
USR0000CYUC,1990,9,3,271,339,189
USR0000CYUC,1990,9,30,200,272,100
USR0000CYUC,1990,9,31,-9999,-9999,-9999
USR0000CYUC,1990,9,4,234,283,178
USR0000CYUC,1990,9,5,234,283,200
USR0000CYUC,1990,9,6,252,322,172
USR0000CYUC,1990,9,7,278,350,178
USR0000CYUC,1990,9,8,286,367,172
USR0000CYUC,1990,9,9,295,367,178
USR0000CYUC,1990,10,1,193,256,144
USR0000CYUC,1990,10,10,158,283,44
USR0000CYUC,1990,10,11,168,294,61
USR0000CYUC,1990,10,12,179,300,78
USR0000CYUC,1990,10,13,196,294,100
USR0000CYUC,1990,10,14,196,289,83
USR0000CYUC,1990,10,15,204,267,144
USR0000CYUC,1990,10,16,191,267,117
USR0000CYUC,1990,10,17,181,256,78
USR0000CYUC,1990,10,18,192,250,117
USR0000CYUC,1990,10,19,160,222,83
USR0000CYUC,1990,10,2,196,272,133
USR0000CYUC,1990,10,20,128,178,78
USR0000CYUC,1990,10,21,127,206,50
USR0000CYUC,1990,10,22,126,244,33
USR0000CYUC,1990,10,23,145,256,44
USR0000CYUC,1990,10,24,161,278,61
USR0000CYUC,1990,10,25,174,300,72
USR0000CYUC,1990,10,26,173,294,72
USR0000CYUC,1990,10,27,177,294,67
USR0000CYUC,1990,10,28,174,289,72
USR0000CYUC,1990,10,29,174,278,78
USR0000CYUC,1990,10,3,192,294,111
USR0000CYUC,1990,10,30,180,256,72
USR0000CYUC,1990,10,31,173,228,139
USR0000CYUC,1990,10,4,211,311,111
USR0000CYUC,1990,10,5,216,294,128
USR0000CYUC,1990,10,6,198,267,111
