ID,YEAR,MONTH,DAY,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD
USS0020H12S,1980,8,1,,,,,,-9999.0,
USS0020H12S,1980,8,10,,,,,,160.0,
USS0020H12S,1980,8,11,,,,,,208.0,
USS0020H12S,1980,8,12,,,,,,359.0,
USS0020H12S,1980,8,13,,,,,,167.0,
USS0020H12S,1980,8,14,,,,,,24.0,
USS0020H12S,1980,8,15,,,,,,32.0,
USS0020H12S,1980,8,16,,,,,,36.0,
USS0020H12S,1980,8,17,,,,,,71.0,
USS0020H12S,1980,8,18,,,,,,-9.0,
USS0020H12S,1980,8,19,,,,,,35.0,
USS0020H12S,1980,8,2,,,,,,-9999.0,
USS0020H12S,1980,8,20,,,,,,48.0,
USS0020H12S,1980,8,21,,,,,,184.0,
USS0020H12S,1980,8,22,,,,,,42.0,
USS0020H12S,1980,8,23,,,,,,61.0,
USS0020H12S,1980,8,24,,,,,,52.0,
USS0020H12S,1980,8,25,,,,,,42.0,
USS0020H12S,1980,8,26,,,,,,44.0,
USS0020H12S,1980,8,27,,,,,,175.0,
USS0020H12S,1980,8,28,,,,,,35.0,
USS0020H12S,1980,8,29,,,,,,0.0,
USS0020H12S,1980,8,3,,,,,,-9999.0,
USS0020H12S,1980,8,30,,,,,,-5.0,
USS0020H12S,1980,8,31,,,,,,14.0,
USS0020H12S,1980,8,4,,,,,,-9999.0,
USS0020H12S,1980,8,5,,,,,,-9999.0,
USS0020H12S,1980,8,6,,,,,,-9999.0,
USS0020H12S,1980,8,7,,,,,,-9999.0,
USS0020H12S,1980,8,8,,,,,,-9999.0,
USS0020H12S,1980,8,9,,,,,,307.0,
USS0020H12S,1980,9,1,,,,,,63.0,-9999.0
USS0020H12S,1980,9,10,,,,,,66.0,-9999.0
USS0020H12S,1980,9,11,,,,,,37.0,-9999.0
USS0020H12S,1980,9,12,,,,,,24.0,-9999.0
USS0020H12S,1980,9,13,,,,,,-14.0,-9999.0
USS0020H12S,1980,9,14,,,,,,19.0,-9999.0
USS0020H12S,1980,9,15,,,,,,19.0,-9999.0
USS0020H12S,1980,9,16,,,,,,78.0,-9999.0
USS0020H12S,1980,9,17,,,,,,97.0,-9999.0
USS0020H12S,1980,9,18,,,,,,30.0,-9999.0
USS0020H12S,1980,9,19,,,,,,42.0,-9999.0
USS0020H12S,1980,9,2,,,,,,12.0,-9999.0
USS0020H12S,1980,9,20,,,,,,-27.0,-9999.0
USS0020H12S,1980,9,21,,,,,,-21.0,-9999.0
USS0020H12S,1980,9,22,,,,,,17.0,-9999.0
USS0020H12S,1980,9,23,,,,,,11.0,-9999.0
USS0020H12S,1980,9,24,,,,,,59.0,-9999.0
USS0020H12S,1980,9,25,,,,,,96.0,-9999.0
USS0020H12S,1980,9,26,,,,,,81.0,-9999.0
USS0020H12S,1980,9,27,,,,,,30.0,-9999.0
USS0020H12S,1980,9,28,,,,,,82.0,-9999.0
USS0020H12S,1980,9,29,,,,,,89.0,-9999.0
USS0020H12S,1980,9,3,,,,,,57.0,-9999.0
USS0020H12S,1980,9,30,,,,,,40.0,0.0
USS0020H12S,1980,9,31,,,,,,-9999.0,-9999.0
USS0020H12S,1980,9,4,,,,,,105.0,-9999.0
USS0020H12S,1980,9,5,,,,,,125.0,-9999.0
USS0020H12S,1980,9,6,,,,,,31.0,-9999.0
USS0020H12S,1980,9,7,,,,,,25.0,-9999.0
USS0020H12S,1980,9,8,,,,,,61.0,-9999.0
USS0020H12S,1980,9,9,,,,,,89.0,-9999.0
USS0020H12S,1980,10,1,0.0,,,,,63.0,0.0
USS0020H12S,1980,10,10,0.0,,,,,33.0,0.0
USS0020H12S,1980,10,11,0.0,,,,,5.0,0.0
USS0020H12S,1980,10,12,0.0,,,,,0.0,0.0
USS0020H12S,1980,10,13,0.0,,,,,-36.0,0.0
USS0020H12S,1980,10,14,102.0,,,,,-47.0,102.0
USS0020H12S,1980,10,15,102.0,,,,,-23.0,229.0
USS0020H12S,1980,10,16,25.0,,,,,-71.0,356.0
USS0020H12S,1980,10,17,76.0,,,,,-32.0,381.0
USS0020H12S,1980,10,18,0.0,,,,,-17.0,381.0
USS0020H12S,1980,10,19,0.0,,,,,4.0,279.0
USS0020H12S,1980,10,2,51.0,,,,,82.0,0.0
USS0020H12S,1980,10,20,0.0,,,,,16.0,229.0
USS0020H12S,1980,10,21,0.0,,,,,-40.0,178.0
USS0020H12S,1980,10,22,0.0,,,,,5.0,152.0
USS0020H12S,1980,10,23,0.0,,,,,54.0,152.0
USS0020H12S,1980,10,24,0.0,,,,,14.0,102.0
USS0020H12S,1980,10,25,0.0,,,,,-47.0,102.0
USS0020H12S,1980,10,26,152.0,,,,,-40.0,356.0
USS0020H12S,1980,10,27,0.0,,,,,-70.0,305.0
USS0020H12S,1980,10,28,0.0,,,,,-4.0,305.0
USS0020H12S,1980,10,29,0.0,,,,,31.0,305.0
USS0020H12S,1980,10,3,0.0,,,,,61.0,0.0
USS0020H12S,1980,10,30,0.0,,,,,60.0,254.0
USS0020H12S,1980,10,31,0.0,,,,,52.0,279.0
USS0020H12S,1980,10,4,0.0,,,,,80.0,0.0
USS0020H12S,1980,10,5,0.0,,,,,98.0,0.0
USS0020H12S,1980,10,6,0.0,,,,,78.0,0.0
USS0020H12S,1980,10,7,0.0,,,,,65.0,0.0
USS0020H12S,1980,10,8,0.0,,,,,5.0,0.0
USS0020H12S,1980,10,9,0.0,,,,,57.0,0.0
USS0020H12S,1980,11,1,0.0,,,,,18.0,254.0
USS0020H12S,1980,11,10,25.0,,,,,-20.0,0.0
USS0020H12S,1980,11,11,0.0,,,,,-109.0,0.0
USS0020H12S,1980,11,12,0.0,,,,,-106.0,0.0
USS0020H12S,1980,11,13,25.0,,,,,-56.0,127.0
USS0020H12S,1980,11,14,25.0,,,,,-75.0,229.0
USS0020H12S,1980,11,15,25.0,,,,,-61.0,203.0
USS0020H12S,1980,11,16,0.0,,,,,-50.0,203.0
USS0020H12S,1980,11,17,25.0,,,,,-21.0,203.0
USS0020H12S,1980,11,18,0.0,,,,,-31.0,203.0
USS0020H12S,1980,11,19,0.0,,,,,-20.0,254.0
USS0020H12S,1980,11,2,0.0,,,,,30.0,178.0
USS0020H12S,1980,11,20,0.0,,,,,14.0,254.0
USS0020H12S,1980,11,21,152.0,,,,,-17.0,356.0
USS0020H12S,1980,11,22,178.0,,,,,-2.0,483.0
USS0020H12S,1980,11,23,229.0,,,,,-104.0,686.0
USS0020H12S,1980,11,24,0.0,,,,,-51.0,635.0
USS0020H12S,1980,11,25,0.0,,,,,-56.0,635.0
USS0020H12S,1980,11,26,0.0,,,,,-9999.0,635.0
USS0020H12S,1980,11,27,25.0,,,,,9.0,610.0
USS0020H12S,1980,11,28,0.0,,,,,23.0,635.0
USS0020H12S,1980,11,29,0.0,,,,,-65.0,635.0
USS0020H12S,1980,11,3,0.0,,,,,39.0,102.0
USS0020H12S,1980,11,30,25.0,,,,,-76.0,660.0
USS0020H12S,1980,11,31,-9999.0,,,,,-9999.0,-9999.0
USS0020H12S,1980,11,4,0.0,,,,,77.0,51.0
USS0020H12S,1980,11,5,0.0,,,,,45.0,51.0
USS0020H12S,1980,11,6,25.0,,,,,62.0,51.0
USS0020H12S,1980,11,7,0.0,,,,,-20.0,0.0
USS0020H12S,1980,11,8,0.0,,,,,-15.0,0.0
USS0020H12S,1980,11,9,0.0,,,,,-43.0,0.0
USS0020H12S,1980,12,1,178.0,,,,,0.0,838.0
USS0020H12S,1980,12,10,0.0,,,,,-33.0,1651.0
USS0020H12S,1980,12,11,0.0,,,,,-51.0,1651.0
USS0020H12S,1980,12,12,0.0,,,,,-45.0,1651.0
USS0020H12S,1980,12,13,0.0,,,,,-46.0,1676.0
USS0020H12S,1980,12,14,25.0,,,,,7.0,1676.0
USS0020H12S,1980,12,15,0.0,,,,,83.0,1676.0
USS0020H12S,1980,12,16,0.0,,,,,7.0,1676.0
USS0020H12S,1980,12,17,0.0,,,,,0.0,1676.0
USS0020H12S,1980,12,18,0.0,,,,,-12.0,1676.0
USS0020H12S,1980,12,19,0.0,,,,,-5.0,1676.0
USS0020H12S,1980,12,2,229.0,,,,,-19.0,1041.0
USS0020H12S,1980,12,20,51.0,,,,,2.0,1727.0
USS0020H12S,1980,12,21,0.0,,,,,-17.0,1778.0
USS0020H12S,1980,12,22,0.0,,,,,-62.0,1778.0
USS0020H12S,1980,12,23,0.0,,,,,21.0,1778.0
USS0020H12S,1980,12,24,102.0,,,,,19.0,1854.0
USS0020H12S,1980,12,25,51.0,,,,,32.0,1778.0
USS0020H12S,1980,12,26,25.0,,,,,30.0,1727.0
USS0020H12S,1980,12,27,25.0,,,,,-55.0,1727.0
USS0020H12S,1980,12,28,25.0,,,,,32.0,1727.0
USS0020H12S,1980,12,29,0.0,,,,,25.0,1702.0
USS0020H12S,1980,12,3,432.0,,,,,-74.0,1473.0
USS0020H12S,1980,12,30,0.0,,,,,-9999.0,1702.0
USS0020H12S,1980,12,31,0.0,,,,,-21.0,1702.0
USS0020H12S,1980,12,4,51.0,,,,,-82.0,1524.0
USS0020H12S,1980,12,5,51.0,,,,,-84.0,1575.0
USS0020H12S,1980,12,6,51.0,,,,,-157.0,1626.0
USS0020H12S,1980,12,7,51.0,,,,,-130.0,1626.0
USS0020H12S,1980,12,8,0.0,,,,,-100.0,1651.0
USS0020H12S,1980,12,9,25.0,,,,,-42.0,1651.0
USS0020H12S,1981,1,1,0.0,,,,,-22.0,1778.0
USS0020H12S,1981,1,10,0.0,,,,,-3.0,1981.0
USS0020H12S,1981,1,11,0.0,,,,,-9.0,1981.0
USS0020H12S,1981,1,12,0.0,,,,,-51.0,1981.0
USS0020H12S,1981,1,13,0.0,,,,,-31.0,1981.0
USS0020H12S,1981,1,14,0.0,,,,,-31.0,1981.0
