ID,YEAR,MONTH,DAY,PGTM,PRCP,SNOW,SNWD,TMAX,TMIN,WDFG,WSFG,WT01,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
USW00023119,1949,1,1,1036.0,0.0,0.0,0.0,100.0,6.0,135.0,67.0,1.0,,,,,1.0,,-9999.0,-9999.0
USW00023119,1949,1,10,1318.0,38.0,23.0,25.0,28.0,-44.0,248.0,94.0,1.0,,,,,1.0,,-9999.0,1.0
USW00023119,1949,1,11,312.0,84.0,76.0,51.0,44.0,-28.0,90.0,94.0,1.0,,,,,-9999.0,,1.0,1.0
USW00023119,1949,1,12,1636.0,137.0,0.0,25.0,61.0,-39.0,90.0,139.0,-9999.0,,,,,-9999.0,,1.0,1.0
USW00023119,1949,1,13,1148.0,127.0,0.0,0.0,44.0,17.0,180.0,139.0,-9999.0,,,,,-9999.0,,1.0,-9999.0
USW00023119,1949,1,14,100.0,28.0,0.0,0.0,61.0,6.0,180.0,72.0,1.0,,,,,-9999.0,,1.0,-9999.0
USW00023119,1949,1,15,1630.0,0.0,0.0,0.0,94.0,-22.0,23.0,152.0,1.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,16,1206.0,0.0,0.0,0.0,72.0,22.0,45.0,237.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,17,112.0,0.0,0.0,0.0,111.0,-6.0,23.0,134.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,18,1712.0,0.0,0.0,0.0,122.0,-6.0,180.0,63.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,19,0.0,20.0,0.0,0.0,67.0,22.0,135.0,67.0,1.0,,,,,-9999.0,,1.0,-9999.0
USW00023119,1949,1,2,1424.0,0.0,0.0,0.0,100.0,28.0,23.0,237.0,1.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,20,1448.0,25.0,0.0,0.0,94.0,56.0,315.0,89.0,1.0,,,,,1.0,,1.0,-9999.0
USW00023119,1949,1,21,1224.0,5.0,0.0,0.0,83.0,50.0,225.0,67.0,1.0,,,,,1.0,,1.0,-9999.0
USW00023119,1949,1,22,1354.0,48.0,0.0,0.0,78.0,39.0,225.0,98.0,-9999.0,,,,,1.0,,1.0,-9999.0
USW00023119,1949,1,23,1206.0,41.0,0.0,0.0,78.0,11.0,315.0,152.0,-9999.0,,,,,-9999.0,,1.0,1.0
USW00023119,1949,1,24,2224.0,0.0,0.0,0.0,78.0,-17.0,338.0,125.0,-9999.0,,,,,-9999.0,,1.0,-9999.0
USW00023119,1949,1,25,300.0,0.0,0.0,0.0,94.0,6.0,360.0,161.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,26,1554.0,0.0,0.0,0.0,106.0,-6.0,315.0,89.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,27,1706.0,0.0,0.0,0.0,111.0,22.0,338.0,58.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,28,1430.0,0.0,0.0,0.0,133.0,-6.0,23.0,232.0,1.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,29,112.0,0.0,0.0,0.0,122.0,-11.0,45.0,139.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,3,1236.0,0.0,0.0,0.0,50.0,-22.0,45.0,152.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,30,1730.0,0.0,0.0,0.0,133.0,-11.0,338.0,80.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,31,1024.0,0.0,0.0,0.0,128.0,0.0,113.0,103.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,4,1124.0,0.0,0.0,0.0,67.0,-50.0,23.0,98.0,-9999.0,,,,,1.0,,-9999.0,-9999.0
USW00023119,1949,1,5,1554.0,0.0,0.0,0.0,133.0,-39.0,23.0,85.0,-9999.0,,,,,1.0,,-9999.0,-9999.0
USW00023119,1949,1,6,1412.0,0.0,0.0,0.0,172.0,-22.0,90.0,112.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,7,230.0,0.0,0.0,0.0,183.0,0.0,45.0,94.0,-9999.0,,,,,-9999.0,,-9999.0,-9999.0
USW00023119,1949,1,8,1530.0,0.0,0.0,0.0,133.0,-17.0,338.0,80.0,-9999.0,,,,,1.0,,-9999.0,-9999.0
USW00023119,1949,1,9,1342.0,30.0,25.0,0.0,67.0,-6.0,248.0,130.0,-9999.0,,,,,-9999.0,,1.0,1.0
USW00023119,1949,2,1,1512.0,0.0,0.0,0.0,139.0,-22.0,315.0,98.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,10,742.0,0.0,0.0,0.0,211.0,44.0,90.0,103.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,11,2130.0,8.0,0.0,0.0,133.0,28.0,315.0,148.0,-9999.0,,,-9999.0,,-9999.0,,1.0,
USW00023119,1949,2,12,1236.0,0.0,0.0,0.0,89.0,0.0,293.0,89.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,13,1518.0,0.0,0.0,0.0,83.0,-11.0,68.0,125.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,14,1100.0,0.0,0.0,0.0,117.0,-17.0,203.0,94.0,-9999.0,,,-9999.0,,1.0,,-9999.0,
USW00023119,1949,2,15,1736.0,0.0,0.0,0.0,144.0,-28.0,315.0,72.0,-9999.0,,,-9999.0,,1.0,,-9999.0,
USW00023119,1949,2,16,1754.0,0.0,0.0,0.0,217.0,17.0,45.0,76.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,17,1700.0,0.0,0.0,0.0,261.0,44.0,315.0,80.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,18,1500.0,0.0,0.0,0.0,228.0,39.0,315.0,98.0,-9999.0,,,-9999.0,,1.0,,-9999.0,
USW00023119,1949,2,19,1354.0,0.0,0.0,0.0,189.0,33.0,315.0,85.0,1.0,,,-9999.0,,1.0,,-9999.0,
USW00023119,1949,2,2,1354.0,0.0,0.0,0.0,111.0,22.0,293.0,85.0,1.0,,,-9999.0,,-9999.0,,1.0,
USW00023119,1949,2,20,1642.0,0.0,0.0,0.0,144.0,67.0,315.0,72.0,1.0,,,-9999.0,,1.0,,-9999.0,
USW00023119,1949,2,21,1712.0,0.0,0.0,0.0,222.0,44.0,315.0,72.0,1.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,22,1524.0,0.0,0.0,0.0,261.0,56.0,315.0,98.0,-9999.0,,,-9999.0,,1.0,,-9999.0,
USW00023119,1949,2,23,1712.0,0.0,0.0,0.0,222.0,56.0,360.0,94.0,1.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,24,1254.0,23.0,0.0,0.0,117.0,83.0,180.0,98.0,1.0,,,-9999.0,,1.0,,1.0,
USW00023119,1949,2,25,2130.0,5.0,0.0,0.0,133.0,78.0,315.0,80.0,1.0,,,-9999.0,,1.0,,1.0,
USW00023119,1949,2,26,1700.0,0.0,0.0,0.0,106.0,72.0,180.0,89.0,1.0,,,-9999.0,,1.0,,1.0,
USW00023119,1949,2,27,1442.0,28.0,0.0,0.0,111.0,56.0,180.0,89.0,-9999.0,,,1.0,,-9999.0,,1.0,
USW00023119,1949,2,28,1830.0,0.0,0.0,0.0,139.0,61.0,338.0,67.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,29,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,3,1248.0,20.0,0.0,0.0,78.0,11.0,315.0,112.0,-9999.0,,,-9999.0,,1.0,,1.0,
USW00023119,1949,2,30,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,31,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,4,1918.0,0.0,0.0,0.0,94.0,44.0,338.0,63.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,5,1148.0,3.0,0.0,0.0,83.0,33.0,338.0,63.0,-9999.0,,,-9999.0,,-9999.0,,1.0,
USW00023119,1949,2,6,1930.0,0.0,0.0,0.0,128.0,0.0,338.0,72.0,1.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,2,7,1812.0,81.0,0.0,0.0,83.0,44.0,270.0,80.0,-9999.0,,,-9999.0,,-9999.0,,1.0,
USW00023119,1949,2,8,424.0,0.0,0.0,0.0,117.0,11.0,23.0,112.0,-9999.0,,,-9999.0,,-9999.0,,1.0,
USW00023119,1949,2,9,1854.0,0.0,0.0,0.0,172.0,-6.0,45.0,85.0,-9999.0,,,-9999.0,,-9999.0,,-9999.0,
USW00023119,1949,3,1,1518.0,0.0,0.0,0.0,183.0,39.0,315.0,98.0,1.0,,,,,1.0,,-9999.0,
USW00023119,1949,3,10,1724.0,0.0,0.0,0.0,189.0,22.0,315.0,89.0,1.0,,,,,-9999.0,,-9999.0,
