ID,YEAR,MONTH,DAY,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
USW00023259,1968,12,1,,,,,,41.0,0.0,0.0,,128.0,94.0,,,,,,,,,,,
USW00023259,1968,12,10,,,,,,102.0,0.0,0.0,,183.0,100.0,,,,,,,,,,,
USW00023259,1968,12,11,,,,,,8.0,0.0,0.0,,128.0,56.0,,,,,,,,,,,
USW00023259,1968,12,12,,,,,,0.0,0.0,0.0,,144.0,22.0,,,,,,,,,,,
USW00023259,1968,12,13,,,,,,15.0,0.0,0.0,,167.0,50.0,,,,,,,,,,,
USW00023259,1968,12,14,,,,,,25.0,0.0,0.0,,133.0,83.0,,,,,,,,,,,
USW00023259,1968,12,15,,,,,,81.0,0.0,0.0,,156.0,78.0,,,,,,,,,,,
USW00023259,1968,12,16,,,,,,0.0,0.0,0.0,,122.0,39.0,,,,,,,,,,,
USW00023259,1968,12,17,,,,,,0.0,0.0,0.0,,128.0,28.0,,,,,,,,,,,
USW00023259,1968,12,18,,,,,,0.0,0.0,0.0,,117.0,22.0,,,,,,,,,,,
USW00023259,1968,12,19,,,,,,53.0,0.0,0.0,,111.0,44.0,,,,,,,,,,,
USW00023259,1968,12,2,,,,,,0.0,0.0,0.0,,150.0,28.0,,,,,,,,,,,
USW00023259,1968,12,20,,,,,,10.0,0.0,0.0,,94.0,11.0,,,,,,,,,,,
USW00023259,1968,12,21,,,,,,0.0,0.0,0.0,,106.0,0.0,,,,,,,,,,,
USW00023259,1968,12,22,,,,,,0.0,0.0,0.0,,100.0,22.0,,,,,,,,,,,
USW00023259,1968,12,23,,,,,,0.0,0.0,0.0,,128.0,72.0,,,,,,,,,,,
USW00023259,1968,12,24,,,,,,58.0,0.0,0.0,,161.0,78.0,,,,,,,,,,,
USW00023259,1968,12,25,,,,,,132.0,0.0,0.0,,133.0,83.0,,,,,,,,,,,
USW00023259,1968,12,26,,,,,,102.0,0.0,0.0,,111.0,61.0,,,,,,,,,,,
USW00023259,1968,12,27,,,,,,0.0,0.0,0.0,,111.0,44.0,,,,,,,,,,,
USW00023259,1968,12,28,,,,,,13.0,0.0,0.0,,150.0,72.0,,,,,,,,,,,
USW00023259,1968,12,29,,,,,,0.0,0.0,0.0,,122.0,67.0,,,,,,,,,,,
USW00023259,1968,12,3,,,,,,0.0,0.0,0.0,,194.0,17.0,,,,,,,,,,,
USW00023259,1968,12,30,,,,,,0.0,0.0,0.0,,167.0,17.0,,,,,,,,,,,
USW00023259,1968,12,31,,,,,,0.0,0.0,0.0,,172.0,56.0,,,,,,,,,,,
