ID,YEAR,MONTH,DAY,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00024257,1986,9,1,,40.0,60.0,,1238.0,0.0,0.0,0.0,,389.0,233.0,785.0,,,,360.0,,,,,123.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,10,,20.0,40.0,,1032.0,0.0,0.0,0.0,,328.0,161.0,762.0,,,,360.0,,,,,113.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,11,,80.0,30.0,,1418.0,0.0,0.0,0.0,,317.0,122.0,668.0,,,,135.0,,,,,93.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,12,,100.0,38.0,,1603.0,0.0,0.0,0.0,,239.0,144.0,427.0,,,,180.0,,,,,82.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,13,,40.0,31.0,,1716.0,0.0,0.0,0.0,,250.0,122.0,650.0,,,,180.0,,,,,93.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,14,,90.0,38.0,,1950.0,28.0,0.0,0.0,,217.0,128.0,324.0,,,,225.0,,,,,123.0,-9999.0,-9999.0,1.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,15,,90.0,45.0,,928.0,58.0,0.0,0.0,,194.0,122.0,307.0,,,,180.0,,,,,118.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,16,,100.0,42.0,,1106.0,36.0,0.0,0.0,,167.0,111.0,175.0,,,,180.0,,,,,123.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,17,,80.0,54.0,,143.0,145.0,0.0,0.0,,211.0,122.0,422.0,,,,-9999.0,,,,,195.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,18,,100.0,20.0,,1337.0,104.0,0.0,0.0,,167.0,89.0,85.0,,,,270.0,,,,,113.0,-9999.0,-9999.0,1.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,19,,80.0,21.0,,1436.0,3.0,0.0,0.0,,194.0,78.0,300.0,,,,-9999.0,,,,,57.0,1.0,1.0,-9999.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,2,,0.0,52.0,,731.0,0.0,0.0,0.0,,400.0,272.0,782.0,,,,360.0,,,,,134.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,20,,30.0,24.0,,1545.0,0.0,0.0,0.0,,228.0,94.0,660.0,,,,135.0,,,,,57.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,21,,20.0,31.0,,1648.0,0.0,0.0,0.0,,256.0,83.0,650.0,,,,90.0,,,,,108.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,22,,10.0,56.0,,1110.0,0.0,0.0,0.0,,289.0,122.0,731.0,,,,360.0,,,,,123.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,23,,90.0,34.0,,2343.0,23.0,0.0,0.0,,222.0,83.0,429.0,,,,-9999.0,,,,,108.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,24,,60.0,52.0,,1045.0,48.0,0.0,0.0,,189.0,128.0,501.0,,,,180.0,,,,,154.0,-9999.0,-9999.0,1.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,25,,90.0,51.0,,1248.0,20.0,0.0,0.0,,178.0,89.0,299.0,,,,180.0,,,,,103.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,26,,100.0,36.0,,1120.0,89.0,0.0,0.0,,144.0,61.0,55.0,,,,-9999.0,,,,,154.0,-9999.0,-9999.0,1.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,27,,10.0,22.0,,1300.0,0.0,0.0,0.0,,206.0,44.0,656.0,,,,225.0,,,,,67.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,28,,10.0,47.0,,1411.0,0.0,0.0,0.0,,239.0,78.0,715.0,,,,360.0,,,,,108.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,29,,60.0,34.0,,905.0,0.0,0.0,0.0,,272.0,106.0,712.0,,,,315.0,,,,,93.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,3,,0.0,29.0,,1549.0,0.0,0.0,0.0,,417.0,172.0,780.0,,,,180.0,,,,,98.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,30,,20.0,41.0,,2045.0,0.0,0.0,0.0,,272.0,117.0,709.0,,,,360.0,,,,,134.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,1.0,,,,,,,
USW00024257,1986,9,31,,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,,,,-9999.0,,,,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,4,,0.0,31.0,,1357.0,0.0,0.0,0.0,,372.0,189.0,777.0,,,,180.0,,,,,82.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
USW00024257,1986,9,5,,30.0,26.0,,1657.0,0.0,0.0,0.0,,394.0,189.0,775.0,,,,180.0,,,,,72.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,-9999.0,,,,,,,
