ID,YEAR,MONTH,DAY,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00093230,1968,5,1,,,,,,,,178.0,-44.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,10,,,,,,,,156.0,-33.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,11,,,,,,,,139.0,-39.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,12,,,,,,,,89.0,0.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,13,,,,,,,,67.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,14,,,,,,,,89.0,-78.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,15,,,,,,,,139.0,-44.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,16,,,,,,,,144.0,-28.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,17,,,,,,,,167.0,-33.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,18,,,,,,,,189.0,-33.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,19,,,,,,,,178.0,22.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,2,,,,,,,,172.0,-61.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,20,,,,,,,,156.0,83.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,21,,,,,,,,133.0,61.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,22,,,,,,,,100.0,-33.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,23,,,,,,,,83.0,-39.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,24,,,,,,,,128.0,-50.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,25,,,,,,,,167.0,33.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,26,,,,,,,,200.0,-17.0,189.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,27,,,,,,,,239.0,6.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,28,,,,,,,,233.0,0.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,29,,,,,,,,222.0,6.0,194.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,3,,,,,,,,178.0,-17.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,30,,,,,,,,194.0,11.0,194.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,31,,,,,,,,211.0,0.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,4,,,,,,,,167.0,-22.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,5,,,,,,,,150.0,-44.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,6,,,,,,,,128.0,-72.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,7,,,,,,,,156.0,-50.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,8,,,,,,,,156.0,-33.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,5,9,,,,,,,,150.0,-11.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,6,1,,,,,,,,233.0,11.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,6,10,,,,,,,,189.0,-6.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,
USW00093230,1968,6,11,,,,,,,,183.0,22.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,
