Year,County,NCICCode,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum
1985,Alameda County,Alameda Co. Sheriff's Department,22,6,3,31,11
1985,Alameda County,Alameda,23,4,5,32,7
1985,Alameda County,Albany,2,0,0,2,1
1985,Alameda County,Berkeley,72,23,5,100,20
1985,Alameda County,Emeryville,0,1,0,1,0
1985,Alameda County,Fremont,37,26,61,124,14
1985,Alameda County,Hayward,17,18,21,56,7
1985,Alameda County,Livermore,17,9,64,90,2
1985,Alameda County,Newark,7,3,2,12,2
1985,Alameda County,Oakland,287,166,22,475,71
1985,Alameda County,Piedmont,1,0,3,4,2
1985,Alameda County,Pleasanton,12,2,12,26,5
1985,Alameda County,San Leandro,13,6,6,25,2
1985,Alameda County,Union City,21,6,19,46,11
1985,Alameda County,Alameda E. Bay Reg. Park Dist.,0,0,11,11,0
1985,Alameda County,CSU East Bay,0,0,0,0,0
1985,Alameda County,Alameda BART,1,0,0,1,0
1985,Alameda County,UC Lawrence-Livermore,0,0,0,0,0
1985,Alameda County,UC Lawrence-Berkeley,0,0,0,0,0
1985,Alameda County,Santa Fe Railroad Alameda,0,0,0,0,0
1985,Alameda County,Alameda SP RR,1,2,0,3,0
1985,Alameda County,Dublin,2,1,2,5,2
1985,Alameda County,Alameda E. Bay Mun. Util. Dist.,0,0,1,1,0
1985,Alameda County,Alameda UP RR,0,0,0,0,0
1985,Alameda County,UC Berkeley,5,1,12,18,3
1985,Alameda County,Alameda State Police,0,0,0,0,0
1985,Alameda County,CA Highway Patrol - Alameda, , , , , 
1985,Alpine County,Alpine Co. Sheriff's Department,0,0,0,0,0
1985,Alpine County,CA Highway Patrol - Alpine, , , , , 
1985,Amador County,Amador Co. Sheriff's Department,0,0,0,0,0
1985,Amador County,Ione,0,0,0,0,0
1985,Amador County,Jackson,1,0,0,1,0
1985,Amador County,Plymouth,1,0,0,1,0
1985,Amador County,Sutter Creek,0,0,0,0,0
1985,Amador County,Union Pacific RR - Amador,0,0,0,0,0
